cluster_id,cluster_type,genome_id,file_name,gene_name,start_position,end_position,gene_type,system_size,candidate_count,multi_label,binary_confidence
202009TB-N10_bin.77.purify_k141_2054538_415-1637,PURE_CANDIDATE,202009TB-N10_bin.77.purify_k141_2054538,202009TB-N10_bin.77.purify.fasta,202009TB-N10_bin.77.purify_k141_2054538_2,415,930,candidate,2,1,other,0.999142050743103
202009TB-N10_bin.77.purify_k141_2054538_415-1637,PURE_CANDIDATE,202009TB-N10_bin.77.purify_k141_2054538,202009TB-N10_bin.77.purify.fasta,202009TB-N10_bin.77.purify_k141_2054538_3,909,1637,known_defense,2,1,other,0.965984582901001
202009TB-N10_bin.84.purify_k141_2086240_3296-6557,PURE_CANDIDATE,202009TB-N10_bin.84.purify_k141_2086240,202009TB-N10_bin.84.purify.fasta,202009TB-N10_bin.84.purify_k141_2086240_2,3296,5809,candidate,2,2,other,0.9998912811279296
202009TB-N10_bin.84.purify_k141_2086240_3296-6557,PURE_CANDIDATE,202009TB-N10_bin.84.purify_k141_2086240,202009TB-N10_bin.84.purify.fasta,202009TB-N10_bin.84.purify_k141_2086240_3,5814,6557,candidate,2,2,other,0.999196231365204
202009TB-N10_bin.84.purify_k141_2445395_4131-5583,HYBRID,202009TB-N10_bin.84.purify_k141_2445395,202009TB-N10_bin.84.purify.fasta,202009TB-N10_bin.84.purify_k141_2445395_4,4131,4682,candidate,2,1,other,0.9994623064994812
202009TB-N10_bin.84.purify_k141_2445395_4131-5583,HYBRID,202009TB-N10_bin.84.purify_k141_2445395,202009TB-N10_bin.84.purify.fasta,202009TB-N10_bin.84.purify_k141_2445395_5,4750,5583,known_defense,2,1,DarTG__DarT,0.9992386102676392
202009TB-N11_bin.50.purify_k141_2492467_1803-2895,PURE_CANDIDATE,202009TB-N11_bin.50.purify_k141_2492467,202009TB-N11_bin.50.purify.fasta,202009TB-N11_bin.50.purify_k141_2492467_4,1803,2645,candidate,2,2,other,0.9945167899131776
202009TB-N11_bin.50.purify_k141_2492467_1803-2895,PURE_CANDIDATE,202009TB-N11_bin.50.purify_k141_2492467,202009TB-N11_bin.50.purify.fasta,202009TB-N11_bin.50.purify_k141_2492467_5,2614,2895,candidate,2,2,other,0.9996395111083984
202009TB-N12_bin.31.purify_k141_189367_1843-3214,PURE_CANDIDATE,202009TB-N12_bin.31.purify_k141_189367,202009TB-N12_bin.31.purify.fasta,202009TB-N12_bin.31.purify_k141_189367_2,1843,2370,known_defense,2,1,other,0.603427529335022
202009TB-N12_bin.31.purify_k141_189367_1843-3214,PURE_CANDIDATE,202009TB-N12_bin.31.purify_k141_189367,202009TB-N12_bin.31.purify.fasta,202009TB-N12_bin.31.purify_k141_189367_3,2420,3214,candidate,2,1,other,0.9984808564186096
202009TB-N12_bin.44.purify_k141_1827492_2-1292,PURE_CANDIDATE,202009TB-N12_bin.44.purify_k141_1827492,202009TB-N12_bin.44.purify.fasta,202009TB-N12_bin.44.purify_k141_1827492_1,2,406,candidate,2,1,other,0.9983678460121156
202009TB-N12_bin.44.purify_k141_1827492_2-1292,PURE_CANDIDATE,202009TB-N12_bin.44.purify_k141_1827492,202009TB-N12_bin.44.purify.fasta,202009TB-N12_bin.44.purify_k141_1827492_2,423,1292,known_defense,2,1,other,0.5857178568840027
202009TB-N12_bin.44.purify_k141_473832_260-3141,PURE_CANDIDATE,202009TB-N12_bin.44.purify_k141_473832,202009TB-N12_bin.44.purify.fasta,202009TB-N12_bin.44.purify_k141_473832_2,260,1501,known_defense,2,1,other,0.8624221682548523
202009TB-N12_bin.44.purify_k141_473832_260-3141,PURE_CANDIDATE,202009TB-N12_bin.44.purify_k141_473832,202009TB-N12_bin.44.purify.fasta,202009TB-N12_bin.44.purify_k141_473832_3,1987,3141,candidate,2,1,other,0.999987244606018
202009TB-N10_bin.91.purify_k141_2077383_63281-65004,PURE_CANDIDATE,202009TB-N10_bin.91.purify_k141_2077383,202009TB-N10_bin.91.purify.fasta,202009TB-N10_bin.91.purify_k141_2077383_59,63281,64078,candidate,2,2,other,0.9999936819076538
202009TB-N10_bin.91.purify_k141_2077383_63281-65004,PURE_CANDIDATE,202009TB-N10_bin.91.purify_k141_2077383,202009TB-N10_bin.91.purify.fasta,202009TB-N10_bin.91.purify_k141_2077383_60,64138,65004,candidate,2,2,other,0.9993996620178224
202009TB-N13_bin.29.purify_k141_2232966_4718-7954,PURE_CANDIDATE,202009TB-N13_bin.29.purify_k141_2232966,202009TB-N13_bin.29.purify.fasta,202009TB-N13_bin.29.purify_k141_2232966_6,4718,5659,known_defense,2,1,other,0.9268288016319276
202009TB-N13_bin.29.purify_k141_2232966_4718-7954,PURE_CANDIDATE,202009TB-N13_bin.29.purify_k141_2232966,202009TB-N13_bin.29.purify.fasta,202009TB-N13_bin.29.purify_k141_2232966_7,5987,7954,candidate,2,1,other,0.9988883137702942
202009TB-N12_bin.28.purify_k141_2442218_2865-4240,PURE_CANDIDATE,202009TB-N12_bin.28.purify_k141_2442218,202009TB-N12_bin.28.purify.fasta,202009TB-N12_bin.28.purify_k141_2442218_5,2865,3575,candidate,2,2,other,0.9960901141166688
202009TB-N12_bin.28.purify_k141_2442218_2865-4240,PURE_CANDIDATE,202009TB-N12_bin.28.purify_k141_2442218,202009TB-N12_bin.28.purify.fasta,202009TB-N12_bin.28.purify_k141_2442218_6,3662,4240,candidate,2,2,other,0.9970571994781494
202009TB-N11_bin.47.purify_k141_1386102_2-1659,HYBRID,202009TB-N11_bin.47.purify_k141_1386102,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1386102_1,2,706,known_defense,2,1,Dpd__DpdB,0.8990007042884827
202009TB-N11_bin.47.purify_k141_1386102_2-1659,HYBRID,202009TB-N11_bin.47.purify_k141_1386102,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1386102_2,703,1659,candidate,2,1,other,0.9964054822921752
202009TB-N11_bin.47.purify_k141_1613057_3-1108,PURE_CANDIDATE,202009TB-N11_bin.47.purify_k141_1613057,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1613057_1,3,371,candidate,2,1,other,0.9987301230430604
202009TB-N11_bin.47.purify_k141_1613057_3-1108,PURE_CANDIDATE,202009TB-N11_bin.47.purify_k141_1613057,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1613057_2,548,1108,known_defense,2,1,other,0.6132845878601074
202009TB-N11_bin.47.purify_k141_1794359_3-1739,HYBRID,202009TB-N11_bin.47.purify_k141_1794359,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1794359_1,3,476,candidate,2,1,other,0.9999779462814332
202009TB-N11_bin.47.purify_k141_1794359_3-1739,HYBRID,202009TB-N11_bin.47.purify_k141_1794359,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_1794359_2,489,1739,known_defense,2,1,cas1_I_II_III_IV_V_VI_10,0.8990429043769836
202009TB-N11_bin.47.purify_k141_620855_1129-3219,PURE_CANDIDATE,202009TB-N11_bin.47.purify_k141_620855,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_620855_2,1129,2586,known_defense,2,1,other,0.9865304827690125
202009TB-N11_bin.47.purify_k141_620855_1129-3219,PURE_CANDIDATE,202009TB-N11_bin.47.purify_k141_620855,202009TB-N11_bin.47.purify.fasta,202009TB-N11_bin.47.purify_k141_620855_3,2656,3219,candidate,2,1,other,0.9994744658470154
202009TB-N10_bin.49.purify_k141_1319979_3310-6796,PURE_CANDIDATE,202009TB-N10_bin.49.purify_k141_1319979,202009TB-N10_bin.49.purify.fasta,202009TB-N10_bin.49.purify_k141_1319979_7,3310,5115,candidate,2,2,other,0.9992792010307312
202009TB-N10_bin.49.purify_k141_1319979_3310-6796,PURE_CANDIDATE,202009TB-N10_bin.49.purify_k141_1319979,202009TB-N10_bin.49.purify.fasta,202009TB-N10_bin.49.purify_k141_1319979_9,5696,6796,candidate,2,2,other,0.9999972581863404
202009TB-N10_bin.43.purify_k141_568773_6713-7991,HYBRID,202009TB-N10_bin.43.purify_k141_568773,202009TB-N10_bin.43.purify.fasta,202009TB-N10_bin.43.purify_k141_568773_8,6713,7300,known_defense,2,1,AbiEii__AbiEi,0.9999924898147584
202009TB-N10_bin.43.purify_k141_568773_6713-7991,HYBRID,202009TB-N10_bin.43.purify_k141_568773,202009TB-N10_bin.43.purify.fasta,202009TB-N10_bin.43.purify_k141_568773_9,7323,7991,candidate,2,1,other,0.9999982118606568
202009TB-N12_bin.37.purify_k141_1743568_1864-3095,HYBRID,202009TB-N12_bin.37.purify_k141_1743568,202009TB-N12_bin.37.purify.fasta,202009TB-N12_bin.37.purify_k141_1743568_3,1864,2562,known_defense,2,1,AbiEii__AbiEii,0.9999964237213136
202009TB-N12_bin.37.purify_k141_1743568_1864-3095,HYBRID,202009TB-N12_bin.37.purify_k141_1743568,202009TB-N12_bin.37.purify.fasta,202009TB-N12_bin.37.purify_k141_1743568_4,2559,3095,candidate,2,1,other,0.999990463256836
202009TB-N10_bin.67.purify_k141_1689200_2-3018,PURE_CANDIDATE,202009TB-N10_bin.67.purify_k141_1689200,202009TB-N10_bin.67.purify.fasta,202009TB-N10_bin.67.purify_k141_1689200_1,2,1894,candidate,2,1,other,0.9958256483078004
202009TB-N10_bin.67.purify_k141_1689200_2-3018,PURE_CANDIDATE,202009TB-N10_bin.67.purify_k141_1689200,202009TB-N10_bin.67.purify.fasta,202009TB-N10_bin.67.purify_k141_1689200_2,2143,3018,known_defense,2,1,other,0.9888709187507628
202009TB-N10_bin.67.purify_k141_1780490_12914-15450,HYBRID,202009TB-N10_bin.67.purify_k141_1780490,202009TB-N10_bin.67.purify.fasta,202009TB-N10_bin.67.purify_k141_1780490_13,12914,14161,candidate,2,1,other,0.9904271364212036
202009TB-N10_bin.67.purify_k141_1780490_12914-15450,HYBRID,202009TB-N10_bin.67.purify_k141_1780490,202009TB-N10_bin.67.purify.fasta,202009TB-N10_bin.67.purify_k141_1780490_14,14449,15450,known_defense,2,1,RT_I_II_III_IV_V_VI,0.9999749660491944
202009TB-N11_bin.24.purify_k141_1411701_1459-4194,PURE_CANDIDATE,202009TB-N11_bin.24.purify_k141_1411701,202009TB-N11_bin.24.purify.fasta,202009TB-N11_bin.24.purify_k141_1411701_4,1459,2379,candidate,2,2,other,0.9981897473335266
202009TB-N11_bin.24.purify_k141_1411701_1459-4194,PURE_CANDIDATE,202009TB-N11_bin.24.purify_k141_1411701,202009TB-N11_bin.24.purify.fasta,202009TB-N11_bin.24.purify_k141_1411701_5,2383,4194,candidate,2,2,other,0.9999277591705322
202009TB-N10_bin.34.purify_k141_2041902_3735-5943,HYBRID,202009TB-N10_bin.34.purify_k141_2041902,202009TB-N10_bin.34.purify.fasta,202009TB-N10_bin.34.purify_k141_2041902_4,3735,5234,known_defense,2,1,Pycsar__AG_cyclase,0.9775416254997252
202009TB-N10_bin.34.purify_k141_2041902_3735-5943,HYBRID,202009TB-N10_bin.34.purify_k141_2041902,202009TB-N10_bin.34.purify.fasta,202009TB-N10_bin.34.purify_k141_2041902_5,5407,5943,candidate,2,1,other,0.9992450475692748
202009TB-N10_bin.17.purify_k141_2299306_8899-13418,PURE_CANDIDATE,202009TB-N10_bin.17.purify_k141_2299306,202009TB-N10_bin.17.purify.fasta,202009TB-N10_bin.17.purify_k141_2299306_11,8899,9756,known_defense,2,1,other,0.8154253959655762
202009TB-N10_bin.17.purify_k141_2299306_8899-13418,PURE_CANDIDATE,202009TB-N10_bin.17.purify_k141_2299306,202009TB-N10_bin.17.purify.fasta,202009TB-N10_bin.17.purify_k141_2299306_12,9753,13418,candidate,2,1,other,0.9967719912528992
202009TB-N11_bin.1.purify_k141_1017973_529-3944,PURE_CANDIDATE,202009TB-N11_bin.1.purify_k141_1017973,202009TB-N11_bin.1.purify.fasta,202009TB-N11_bin.1.purify_k141_1017973_2,529,2907,candidate,2,1,other,0.9983614087104796
202009TB-N11_bin.1.purify_k141_1017973_529-3944,PURE_CANDIDATE,202009TB-N11_bin.1.purify_k141_1017973,202009TB-N11_bin.1.purify.fasta,202009TB-N11_bin.1.purify_k141_1017973_3,2904,3944,known_defense,2,1,other,0.9884368777275084
202009TB-N11_bin.1.purify_k141_1668329_6109-6710,PURE_CANDIDATE,202009TB-N11_bin.1.purify_k141_1668329,202009TB-N11_bin.1.purify.fasta,202009TB-N11_bin.1.purify_k141_1668329_6,6109,6435,candidate,2,2,other,0.9960250854492188
202009TB-N11_bin.1.purify_k141_1668329_6109-6710,PURE_CANDIDATE,202009TB-N11_bin.1.purify_k141_1668329,202009TB-N11_bin.1.purify.fasta,202009TB-N11_bin.1.purify_k141_1668329_7,6435,6710,candidate,2,2,other,0.9941377639770508
202009TB-N11_bin.40.purify_k141_998323_2-2284,HYBRID,202009TB-N11_bin.40.purify_k141_998323,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_998323_1,2,1471,known_defense,2,1,Wadjet__JetA_III,0.9630833268165588
202009TB-N11_bin.40.purify_k141_998323_2-2284,HYBRID,202009TB-N11_bin.40.purify_k141_998323,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_998323_2,1652,2284,candidate,2,1,other,0.9998772144317628
202009TB-N11_bin.40.purify_k141_2094164_560-1952,PURE_CANDIDATE,202009TB-N11_bin.40.purify_k141_2094164,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_2094164_3,560,1108,candidate,2,1,other,0.9995105266571044
202009TB-N11_bin.40.purify_k141_2094164_560-1952,PURE_CANDIDATE,202009TB-N11_bin.40.purify_k141_2094164,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_2094164_4,1383,1952,known_defense,2,1,other,0.6756837368011475
202009TB-N11_bin.40.purify_k141_656001_4963-6910,PURE_CANDIDATE,202009TB-N11_bin.40.purify_k141_656001,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_656001_5,4963,6531,known_defense,2,1,other,0.6377860307693481
202009TB-N11_bin.40.purify_k141_656001_4963-6910,PURE_CANDIDATE,202009TB-N11_bin.40.purify_k141_656001,202009TB-N11_bin.40.purify.fasta,202009TB-N11_bin.40.purify_k141_656001_6,6599,6910,candidate,2,1,other,0.9954820871353148
202009TB-N12_bin.7.purify_k141_340506_1051-1646,HYBRID,202009TB-N12_bin.7.purify_k141_340506,202009TB-N12_bin.7.purify.fasta,202009TB-N12_bin.7.purify_k141_340506_2,1051,1326,candidate,2,1,other,0.995896339416504
202009TB-N12_bin.7.purify_k141_340506_1051-1646,HYBRID,202009TB-N12_bin.7.purify_k141_340506,202009TB-N12_bin.7.purify.fasta,202009TB-N12_bin.7.purify_k141_340506_3,1326,1646,known_defense,2,1,PfiAT__PfiT,0.9999934434890748
202009TB-N13_bin.18.purify_k141_1909737_227-1991,HYBRID,202009TB-N13_bin.18.purify_k141_1909737,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_1909737_2,227,1270,known_defense,2,1,DarTG__DarT,0.9632433652877808
202009TB-N13_bin.18.purify_k141_1909737_227-1991,HYBRID,202009TB-N13_bin.18.purify_k141_1909737,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_1909737_3,1365,1991,candidate,2,1,other,0.9984447360038756
202009TB-N13_bin.18.purify_k141_2816046_2337-3199,PURE_CANDIDATE,202009TB-N13_bin.18.purify_k141_2816046,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_2816046_5,2337,2894,known_defense,2,1,other,0.9874168634414672
202009TB-N13_bin.18.purify_k141_2816046_2337-3199,PURE_CANDIDATE,202009TB-N13_bin.18.purify_k141_2816046,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_2816046_6,2864,3199,candidate,2,1,other,0.999988317489624
202009TB-N13_bin.18.purify_k141_2218262_2863-4657,PURE_CANDIDATE,202009TB-N13_bin.18.purify_k141_2218262,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_2218262_6,2863,3747,candidate,2,2,other,0.99989652633667
202009TB-N13_bin.18.purify_k141_2218262_2863-4657,PURE_CANDIDATE,202009TB-N13_bin.18.purify_k141_2218262,202009TB-N13_bin.18.purify.fasta,202009TB-N13_bin.18.purify_k141_2218262_7,3749,4657,candidate,2,2,other,0.9905940294265748
202009TB-N13_bin.20.purify_k141_2149137_1-2381,HYBRID,202009TB-N13_bin.20.purify_k141_2149137,202009TB-N13_bin.20.purify.fasta,202009TB-N13_bin.20.purify_k141_2149137_1,1,1719,known_defense,2,1,Shango__SngC,0.9999995231628418
202009TB-N13_bin.20.purify_k141_2149137_1-2381,HYBRID,202009TB-N13_bin.20.purify_k141_2149137,202009TB-N13_bin.20.purify.fasta,202009TB-N13_bin.20.purify_k141_2149137_2,1821,2381,candidate,2,1,other,0.9999511241912842
202009TB-N13_bin.20.purify_k141_1542024_7334-8234,PURE_CANDIDATE,202009TB-N13_bin.20.purify_k141_1542024,202009TB-N13_bin.20.purify.fasta,202009TB-N13_bin.20.purify_k141_1542024_10,7334,7990,candidate,2,2,other,0.9999886751174928
202009TB-N13_bin.20.purify_k141_1542024_7334-8234,PURE_CANDIDATE,202009TB-N13_bin.20.purify_k141_1542024,202009TB-N13_bin.20.purify.fasta,202009TB-N13_bin.20.purify_k141_1542024_11,8025,8234,candidate,2,2,other,0.9936766028404236
202009TB-N12_bin.5.purify_k141_1783560_1-4273,HYBRID,202009TB-N12_bin.5.purify_k141_1783560,202009TB-N12_bin.5.purify.fasta,202009TB-N12_bin.5.purify_k141_1783560_1,1,237,candidate,2,1,other,0.9992938041687012
202009TB-N12_bin.5.purify_k141_1783560_1-4273,HYBRID,202009TB-N12_bin.5.purify_k141_1783560,202009TB-N12_bin.5.purify.fasta,202009TB-N12_bin.5.purify_k141_1783560_2,224,4273,known_defense,2,1,Pif__PifA,0.998789608478546
202009TB-N13_bin.22.purify_k141_1016693_417-1803,PURE_CANDIDATE,202009TB-N13_bin.22.purify_k141_1016693,202009TB-N13_bin.22.purify.fasta,202009TB-N13_bin.22.purify_k141_1016693_2,417,1109,known_defense,2,1,other,0.9853270053863524
202009TB-N13_bin.22.purify_k141_1016693_417-1803,PURE_CANDIDATE,202009TB-N13_bin.22.purify_k141_1016693,202009TB-N13_bin.22.purify.fasta,202009TB-N13_bin.22.purify_k141_1016693_3,1141,1803,candidate,2,1,other,0.9999979734420776
202009TB-N13_bin.39.purify_k141_134676_1-3132,PURE_CANDIDATE,202009TB-N13_bin.39.purify_k141_134676,202009TB-N13_bin.39.purify.fasta,202009TB-N13_bin.39.purify_k141_134676_1,1,660,known_defense,2,1,other,0.8181209564208984
202009TB-N13_bin.39.purify_k141_134676_1-3132,PURE_CANDIDATE,202009TB-N13_bin.39.purify_k141_134676,202009TB-N13_bin.39.purify.fasta,202009TB-N13_bin.39.purify_k141_134676_2,757,3132,candidate,2,1,other,0.9996887445449828
202009TB-N13_bin.39.purify_k141_297553_387-3541,PURE_CANDIDATE,202009TB-N13_bin.39.purify_k141_297553,202009TB-N13_bin.39.purify.fasta,202009TB-N13_bin.39.purify_k141_297553_2,387,2687,known_defense,2,1,other,0.9891170859336852
202009TB-N13_bin.39.purify_k141_297553_387-3541,PURE_CANDIDATE,202009TB-N13_bin.39.purify_k141_297553,202009TB-N13_bin.39.purify.fasta,202009TB-N13_bin.39.purify_k141_297553_3,2843,3541,candidate,2,1,other,0.9998798370361328
202009TB-N13_bin.33.purify_k141_754392_359-1685,PURE_CANDIDATE,202009TB-N13_bin.33.purify_k141_754392,202009TB-N13_bin.33.purify.fasta,202009TB-N13_bin.33.purify_k141_754392_2,359,847,known_defense,2,1,other,0.6472976207733154
202009TB-N13_bin.33.purify_k141_754392_359-1685,PURE_CANDIDATE,202009TB-N13_bin.33.purify_k141_754392,202009TB-N13_bin.33.purify.fasta,202009TB-N13_bin.33.purify_k141_754392_3,825,1685,candidate,2,1,other,0.9999017715454102
202009TB-N13_bin.36.purify_k141_1663564_3-1204,PURE_CANDIDATE,202009TB-N13_bin.36.purify_k141_1663564,202009TB-N13_bin.36.purify.fasta,202009TB-N13_bin.36.purify_k141_1663564_1,3,203,candidate,2,2,other,0.9911406636238098
202009TB-N13_bin.36.purify_k141_1663564_3-1204,PURE_CANDIDATE,202009TB-N13_bin.36.purify_k141_1663564,202009TB-N13_bin.36.purify.fasta,202009TB-N13_bin.36.purify_k141_1663564_2,227,1204,candidate,2,2,other,0.998524010181427
202009TB-N3_bin.1.purify_k141_1898121_3-835,HYBRID,202009TB-N3_bin.1.purify_k141_1898121,202009TB-N3_bin.1.purify.fasta,202009TB-N3_bin.1.purify_k141_1898121_1,3,401,known_defense,2,1,cas2_I_II_III_IV_V_VI_3,0.9999290704727172
202009TB-N3_bin.1.purify_k141_1898121_3-835,HYBRID,202009TB-N3_bin.1.purify_k141_1898121,202009TB-N3_bin.1.purify.fasta,202009TB-N3_bin.1.purify_k141_1898121_2,398,835,candidate,2,1,other,0.994070827960968
202009TB-N3_bin.2.purify_k141_1608533_191-3893,PURE_CANDIDATE,202009TB-N3_bin.2.purify_k141_1608533,202009TB-N3_bin.2.purify.fasta,202009TB-N3_bin.2.purify_k141_1608533_2,191,1285,known_defense,3,1,other,0.9526387453079224
202009TB-N3_bin.2.purify_k141_1608533_191-3893,PURE_CANDIDATE,202009TB-N3_bin.2.purify_k141_1608533,202009TB-N3_bin.2.purify.fasta,202009TB-N3_bin.2.purify_k141_1608533_3,1610,2662,candidate,3,1,other,0.9995941519737244
202009TB-N3_bin.2.purify_k141_1608533_191-3893,PURE_CANDIDATE,202009TB-N3_bin.2.purify_k141_1608533,202009TB-N3_bin.2.purify.fasta,202009TB-N3_bin.2.purify_k141_1608533_4,2778,3893,known_defense,3,1,other,0.9124281406402588
202009TB-N3_bin.13.purify_k141_1641754_2-819,PURE_CANDIDATE,202009TB-N3_bin.13.purify_k141_1641754,202009TB-N3_bin.13.purify.fasta,202009TB-N3_bin.13.purify_k141_1641754_1,2,310,candidate,2,1,other,0.9989446997642516
202009TB-N3_bin.13.purify_k141_1641754_2-819,PURE_CANDIDATE,202009TB-N3_bin.13.purify_k141_1641754,202009TB-N3_bin.13.purify.fasta,202009TB-N3_bin.13.purify_k141_1641754_2,373,819,known_defense,2,1,other,0.5269155502319336
202009TB-N3_bin.13.purify_k141_1128034_3-1160,HYBRID,202009TB-N3_bin.13.purify_k141_1128034,202009TB-N3_bin.13.purify.fasta,202009TB-N3_bin.13.purify_k141_1128034_1,3,77,known_defense,2,1,Mok_Hok_Sok__Hok,0.9998610019683838
202009TB-N3_bin.13.purify_k141_1128034_3-1160,HYBRID,202009TB-N3_bin.13.purify_k141_1128034,202009TB-N3_bin.13.purify.fasta,202009TB-N3_bin.13.purify_k141_1128034_2,156,1160,candidate,2,1,other,0.9993823766708374
202009TB-N3_bin.26.purify_k141_433650_3111-11234,HYBRID,202009TB-N3_bin.26.purify_k141_433650,202009TB-N3_bin.26.purify.fasta,202009TB-N3_bin.26.purify_k141_433650_4,3111,4736,known_defense,3,1,RM_Type_III__Type_III_MTases,0.9999984502792358
202009TB-N3_bin.26.purify_k141_433650_3111-11234,HYBRID,202009TB-N3_bin.26.purify_k141_433650,202009TB-N3_bin.26.purify.fasta,202009TB-N3_bin.26.purify_k141_433650_6,5611,8250,known_defense,3,1,RM_Type_III__Type_III_REases,0.9999957084655762
202009TB-N3_bin.26.purify_k141_433650_3111-11234,HYBRID,202009TB-N3_bin.26.purify_k141_433650,202009TB-N3_bin.26.purify.fasta,202009TB-N3_bin.26.purify_k141_433650_8,9156,11234,candidate,3,1,other,0.9997603297233582
202009TB-N3_bin.44.purify_k141_1479629_207-1677,PURE_CANDIDATE,202009TB-N3_bin.44.purify_k141_1479629,202009TB-N3_bin.44.purify.fasta,202009TB-N3_bin.44.purify_k141_1479629_2,207,1097,candidate,2,1,other,0.9997202754020692
202009TB-N3_bin.44.purify_k141_1479629_207-1677,PURE_CANDIDATE,202009TB-N3_bin.44.purify_k141_1479629,202009TB-N3_bin.44.purify.fasta,202009TB-N3_bin.44.purify_k141_1479629_3,1078,1677,known_defense,2,1,other,0.8870636820793152
202009TB-N3_bin.38.purify_k141_1882321_8403-10709,PURE_CANDIDATE,202009TB-N3_bin.38.purify_k141_1882321,202009TB-N3_bin.38.purify.fasta,202009TB-N3_bin.38.purify_k141_1882321_9,8403,9806,candidate,2,2,other,0.9992995262145996
202009TB-N3_bin.38.purify_k141_1882321_8403-10709,PURE_CANDIDATE,202009TB-N3_bin.38.purify_k141_1882321,202009TB-N3_bin.38.purify.fasta,202009TB-N3_bin.38.purify_k141_1882321_10,9984,10709,candidate,2,2,other,0.999621033668518
