Architecture,Frequency,Novel_Families,Genome,Cluster_ID,Gene_Context
"(678, 1868)",17,[1868],2020_CRC-20W-2-1_bin.162.purify_k141_1738781,2020_CRC-20W-2-1_bin.162.purify_k141_1738781_12784-16974,2020_CRC-20W-2-1_bin.162.purify_k141_1738781_12(Fam_678 [★Target]) --> 2020_CRC-20W-2-1_bin.162.purify_k141_1738781_13(Fam_1868 [★Target])
"(678, 1868)",17,[1868],2020_GHH17-W1_bin.16.purify_k141_1120366,2020_GHH17-W1_bin.16.purify_k141_1120366_40878-44959,2020_GHH17-W1_bin.16.purify_k141_1120366_31(Fam_678 [★Target]) --> 2020_GHH17-W1_bin.16.purify_k141_1120366_32(Fam_1868 [★Target])
"(6478, 9622)",12,[6478],2020_CN-B-W-2_bin.212.purify_k141_810131,2020_CN-B-W-2_bin.212.purify_k141_810131_97849-99347,2020_CN-B-W-2_bin.212.purify_k141_810131_94(Fam_6478 [★Target]) --> 2020_CN-B-W-2_bin.212.purify_k141_810131_95(Fam_9622 [★Target])
"(6478, 9622)",12,[6478],2020_CN-DB-w-2_bin.101.purify_k141_19773,2020_CN-DB-w-2_bin.101.purify_k141_19773_522-2020,2020_CN-DB-w-2_bin.101.purify_k141_19773_2(Fam_9622 [★Target]) --> 2020_CN-DB-w-2_bin.101.purify_k141_19773_3(Fam_6478 [★Target])
"(6478, 9622)",12,[6478],2020_CN-D-w-1_bin.101.purify_k141_267464,2020_CN-D-w-1_bin.101.purify_k141_267464_459-1957,2020_CN-D-w-1_bin.101.purify_k141_267464_1(Fam_9622 [★Target]) --> 2020_CN-D-w-1_bin.101.purify_k141_267464_2(Fam_6478 [★Target])
"(6478, 9622)",12,[6478],2020_CN-D-w-2_bin.73.purify_k141_389951,2020_CN-D-w-2_bin.73.purify_k141_389951_578-2076,2020_CN-D-w-2_bin.73.purify_k141_389951_2(Fam_9622 [★Target]) --> 2020_CN-D-w-2_bin.73.purify_k141_389951_3(Fam_6478 [★Target])
"(6478, 9622)",12,[6478],2020_CN-N-W-2-0m_bin.146.purify_k141_977772,2020_CN-N-W-2-0m_bin.146.purify_k141_977772_507-2005,2020_CN-N-W-2-0m_bin.146.purify_k141_977772_2(Fam_9622 [★Target]) --> 2020_CN-N-W-2-0m_bin.146.purify_k141_977772_3(Fam_6478 [★Target])
"(896, 12412)",12,[896],2020_GMZ4-W1_bin.259.purify_k141_1587160,2020_GMZ4-W1_bin.259.purify_k141_1587160_10023-12843,2020_GMZ4-W1_bin.259.purify_k141_1587160_12(Fam_12412 [★Target]) --> 2020_GMZ4-W1_bin.259.purify_k141_1587160_13(Fam_896 [★Target])
"(896, 12412)",12,[896],2020_JSW-W1_bin.172.purify_k141_621376,2020_JSW-W1_bin.172.purify_k141_621376_10215-12252,2020_JSW-W1_bin.172.purify_k141_621376_12(Fam_12412 [★Target]) --> 2020_JSW-W1_bin.172.purify_k141_621376_13(Fam_896 [★Target])
"(896, 12412)",12,[896],2020_QHH13-W1_bin.60.purify_k141_453492,2020_QHH13-W1_bin.60.purify_k141_453492_10023-12057,2020_QHH13-W1_bin.60.purify_k141_453492_12(Fam_12412 [★Target]) --> 2020_QHH13-W1_bin.60.purify_k141_453492_13(Fam_896 [★Target])
"(896, 12412)",12,[896],2020_QHH2-W1_bin.73.purify_k141_84185,2020_QHH2-W1_bin.73.purify_k141_84185_10023-11907,2020_QHH2-W1_bin.73.purify_k141_84185_12(Fam_12412 [★Target]) --> 2020_QHH2-W1_bin.73.purify_k141_84185_13(Fam_896 [★Target])
"(896, 12412)",12,[896],2021-ND-W3_bin.129.purify_k141_496035,2021-ND-W3_bin.129.purify_k141_496035_10172-12194,2021-ND-W3_bin.129.purify_k141_496035_12(Fam_12412 [★Target]) --> 2021-ND-W3_bin.129.purify_k141_496035_13(Fam_896 [★Target])
"(262, 450, 3691)",12,[3691],2020_CC-20W-1-10m-1_bin.102.purify_k141_34792,2020_CC-20W-1-10m-1_bin.102.purify_k141_34792_862-8658,2020_CC-20W-1-10m-1_bin.102.purify_k141_34792_2(Fam_262 [★Target]) --> 2020_CC-20W-1-10m-1_bin.102.purify_k141_34792_3(Fam_450 [★Target]) --> 2020_CC-20W-1-10m-1_bin.102.purify_k141_34792_4(Fam_3691 [★Target])
"(262, 450, 3691)",12,[3691],2021-JSW-W1_bin.13.purify_k141_504265,2021-JSW-W1_bin.13.purify_k141_504265_10163-17451,2021-JSW-W1_bin.13.purify_k141_504265_16(Fam_3691 [★Target]) --> 2021-JSW-W1_bin.13.purify_k141_504265_17(Fam_450 [★Target]) --> 2021-JSW-W1_bin.13.purify_k141_504265_18(Fam_262 [★Target])
"(262, 450, 3691)",12,[3691],2021-ND-W5_bin.22.purify_k141_597587,2021-ND-W5_bin.22.purify_k141_597587_10075-17363,2021-ND-W5_bin.22.purify_k141_597587_15(Fam_3691 [★Target]) --> 2021-ND-W5_bin.22.purify_k141_597587_16(Fam_450 [★Target]) --> 2021-ND-W5_bin.22.purify_k141_597587_17(Fam_262 [★Target])
"(262, 450, 3691)",12,[3691],2021-QHH-W10_bin.35.purify_k141_626054,2021-QHH-W10_bin.35.purify_k141_626054_27798-35086,2021-QHH-W10_bin.35.purify_k141_626054_18(Fam_262 [★Target]) --> 2021-QHH-W10_bin.35.purify_k141_626054_19(Fam_450 [★Target]) --> 2021-QHH-W10_bin.35.purify_k141_626054_20(Fam_3691 [★Target])
"(262, 450, 3691)",12,[3691],2021-QHH-W11_bin.17.purify_k141_313174,2021-QHH-W11_bin.17.purify_k141_313174_9513-22289,2021-QHH-W11_bin.17.purify_k141_313174_14(Fam_3691 [★Target]) --> 2021-QHH-W11_bin.17.purify_k141_313174_15(Fam_450 [★Target]) --> 2021-QHH-W11_bin.17.purify_k141_313174_16(Fam_262 [★Target]) --> 2021-QHH-W11_bin.17.purify_k141_313174_17(Fam_350) --> 2021-QHH-W11_bin.17.purify_k141_313174_18(Fam_7404) --> 2021-QHH-W11_bin.17.purify_k141_313174_19(Fam_8330) --> 2021-QHH-W11_bin.17.purify_k141_313174_20(Fam_10091)
"(11895, 13612)",12,[13612],2020_JNYC-20W-1-20m-1_bin.156.purify_k141_274024,2020_JNYC-20W-1-20m-1_bin.156.purify_k141_274024_3922-4550,2020_JNYC-20W-1-20m-1_bin.156.purify_k141_274024_4(Fam_13612 [★Target]) --> 2020_JNYC-20W-1-20m-1_bin.156.purify_k141_274024_5(Fam_11895 [★Target])
"(11895, 13612)",12,[13612],2020_JNYC-20W-1-60m-1_bin.46.purify_k141_46986,2020_JNYC-20W-1-60m-1_bin.46.purify_k141_46986_5067-5695,2020_JNYC-20W-1-60m-1_bin.46.purify_k141_46986_7(Fam_11895 [★Target]) --> 2020_JNYC-20W-1-60m-1_bin.46.purify_k141_46986_8(Fam_13612 [★Target])
"(11895, 13612)",12,[13612],2020_SLC-w-7_bin.177.purify_k141_120233,2020_SLC-w-7_bin.177.purify_k141_120233_114127-114758,2020_SLC-w-7_bin.177.purify_k141_120233_106(Fam_11895 [★Target]) --> 2020_SLC-w-7_bin.177.purify_k141_120233_107(Fam_13612 [★Target])
"(11895, 13612)",12,[13612],2020_SLSD2-W1_bin.24.purify_k141_1299831,2020_SLSD2-W1_bin.24.purify_k141_1299831_466-1087,2020_SLSD2-W1_bin.24.purify_k141_1299831_2(Fam_13612 [★Target]) --> 2020_SLSD2-W1_bin.24.purify_k141_1299831_3(Fam_11895 [★Target])
"(11895, 13612)",12,[13612],2020_YBJSD-W-1_bin.64.purify_k141_1445546,2020_YBJSD-W-1_bin.64.purify_k141_1445546_3280-3901,2020_YBJSD-W-1_bin.64.purify_k141_1445546_5(Fam_13612 [★Target]) --> 2020_YBJSD-W-1_bin.64.purify_k141_1445546_6(Fam_11895 [★Target])
"(6193, 9173)",12,[6193],2020_BGBMC-20W-2-1_bin.144.purify_k141_740800,2020_BGBMC-20W-2-1_bin.144.purify_k141_740800_17297-18793,2020_BGBMC-20W-2-1_bin.144.purify_k141_740800_18(Fam_9173 [★Target]) --> 2020_BGBMC-20W-2-1_bin.144.purify_k141_740800_19(Fam_6193 [★Target])
"(6193, 9173)",12,[6193],2020_CE-20W-1-2.5m-1_bin.43.purify_k141_1142961,2020_CE-20W-1-2.5m-1_bin.43.purify_k141_1142961_16117-17613,2020_CE-20W-1-2.5m-1_bin.43.purify_k141_1142961_16(Fam_9173 [★Target]) --> 2020_CE-20W-1-2.5m-1_bin.43.purify_k141_1142961_17(Fam_6193 [★Target])
"(6193, 9173)",12,[6193],2020_CE-X-W-1_bin.78.purify_k141_255761,2020_CE-X-W-1_bin.78.purify_k141_255761_1970-3450,2020_CE-X-W-1_bin.78.purify_k141_255761_5(Fam_9173 [★Target]) --> 2020_CE-X-W-1_bin.78.purify_k141_255761_6(Fam_6193 [★Target])
"(6193, 9173)",12,[6193],2020_DQZB-w5_bin.177.purify_k141_308111,2020_DQZB-w5_bin.177.purify_k141_308111_4851-6333,2020_DQZB-w5_bin.177.purify_k141_308111_7(Fam_9173 [★Target]) --> 2020_DQZB-w5_bin.177.purify_k141_308111_8(Fam_6193 [★Target])
"(6193, 9173)",12,[6193],2020_JC-20W-1-5m-1_bin.57.purify_k141_339930,2020_JC-20W-1-5m-1_bin.57.purify_k141_339930_2577-3898,2020_JC-20W-1-5m-1_bin.57.purify_k141_339930_4(Fam_9173 [★Target]) --> 2020_JC-20W-1-5m-1_bin.57.purify_k141_339930_5(Fam_6193 [★Target])
"(1429, 1703)",11,[1703],2020_CN-B-W-1_bin.206.purify_k141_359441,2020_CN-B-W-1_bin.206.purify_k141_359441_16345-20301,2020_CN-B-W-1_bin.206.purify_k141_359441_17(Fam_1429 [★Target]) --> 2020_CN-B-W-1_bin.206.purify_k141_359441_18(Fam_1703 [★Target])
"(1429, 1703)",11,[1703],2020_CN-DB-w-1_bin.20.purify_k141_1992026,2020_CN-DB-w-1_bin.20.purify_k141_1992026_12387-16343,2020_CN-DB-w-1_bin.20.purify_k141_1992026_12(Fam_1703 [★Target]) --> 2020_CN-DB-w-1_bin.20.purify_k141_1992026_14(Fam_1429 [★Target])
"(1429, 1703)",11,[1703],2020_CN-DB-w-2_bin.5.purify_k141_54464,2020_CN-DB-w-2_bin.5.purify_k141_54464_22590-26546,2020_CN-DB-w-2_bin.5.purify_k141_54464_22(Fam_1429 [★Target]) --> 2020_CN-DB-w-2_bin.5.purify_k141_54464_23(Fam_1703 [★Target])
"(1429, 1703)",11,[1703],2020_CN-D-w-1_bin.44.purify_k141_224137,2020_CN-D-w-1_bin.44.purify_k141_224137_18094-22050,2020_CN-D-w-1_bin.44.purify_k141_224137_19(Fam_1703 [★Target]) --> 2020_CN-D-w-1_bin.44.purify_k141_224137_20(Fam_1429 [★Target])
"(1429, 1703)",11,[1703],2020_CN-D-w-2_bin.119.purify_k141_420670,2020_CN-D-w-2_bin.119.purify_k141_420670_18070-22026,2020_CN-D-w-2_bin.119.purify_k141_420670_19(Fam_1703 [★Target]) --> 2020_CN-D-w-2_bin.119.purify_k141_420670_20(Fam_1429 [★Target])
"(12942, 13858)",11,[12942],2020_GH-W1_bin.87.purify_k141_935680,2020_GH-W1_bin.87.purify_k141_935680_2211-3038,2020_GH-W1_bin.87.purify_k141_935680_6(Fam_13858 [★Target]) --> 2020_GH-W1_bin.87.purify_k141_935680_7(Fam_12942 [★Target])
