Architecture,Frequency,Novel_Families,Genome,Cluster_ID,Gene_Context
"(1107, 7308)",12,[7308],202104TB-W31-N1_bin.26.purify_k141_298799,202104TB-W31-N1_bin.26.purify_k141_298799_1367-3941,202104TB-W31-N1_bin.26.purify_k141_298799_3(Fam_7308 [★Target]) --> 202104TB-W31-N1_bin.26.purify_k141_298799_4(Fam_1107 [★Target])
"(1107, 7308)",12,[7308],202104TB-W41-N1_bin.35.purify_k141_86379,202104TB-W41-N1_bin.35.purify_k141_86379_3-2586,202104TB-W41-N1_bin.35.purify_k141_86379_1(Fam_1107 [★Target]) --> 202104TB-W41-N1_bin.35.purify_k141_86379_2(Fam_7308 [★Target])
"(1107, 7308)",12,[7308],202104TB-W70-N1_bin.72.purify_k141_578621,202104TB-W70-N1_bin.72.purify_k141_578621_2958-5234,202104TB-W70-N1_bin.72.purify_k141_578621_5(Fam_7308 [★Target]) --> 202104TB-W70-N1_bin.72.purify_k141_578621_6(Fam_1107 [★Target])
"(1107, 7308)",12,[7308],202106QH-W18-N1_bin.14.purify_k141_3051840,202106QH-W18-N1_bin.14.purify_k141_3051840_2244-4862,202106QH-W18-N1_bin.14.purify_k141_3051840_4(Fam_7308 [★Target]) --> 202106QH-W18-N1_bin.14.purify_k141_3051840_5(Fam_1107 [★Target])
"(1107, 7308)",12,[7308],202106QH-W40-N1_bin.54.purify_k141_1004428,202106QH-W40-N1_bin.54.purify_k141_1004428_1971-4592,202106QH-W40-N1_bin.54.purify_k141_1004428_3(Fam_1107 [★Target]) --> 202106QH-W40-N1_bin.54.purify_k141_1004428_4(Fam_7308 [★Target])
"(3327, 3352)",9,[3327],202104TB-W69-N1_bin.140.purify_k141_966713,202104TB-W69-N1_bin.140.purify_k141_966713_161-2720,202104TB-W69-N1_bin.140.purify_k141_966713_2(Fam_3327 [★Target]) --> 202104TB-W69-N1_bin.140.purify_k141_966713_3(Fam_3352 [★Target])
"(3327, 3352)",9,[3327],202104TB-W69-N1_bin.190.purify_k141_1055593,202104TB-W69-N1_bin.190.purify_k141_1055593_164-2697,202104TB-W69-N1_bin.190.purify_k141_1055593_2(Fam_3352 [★Target]) --> 202104TB-W69-N1_bin.190.purify_k141_1055593_3(Fam_3327 [★Target])
"(3327, 3352)",9,[3327],202104TB-W70-N1_bin.114.purify_k141_965371,202104TB-W70-N1_bin.114.purify_k141_965371_161-2720,202104TB-W70-N1_bin.114.purify_k141_965371_2(Fam_3327 [★Target]) --> 202104TB-W70-N1_bin.114.purify_k141_965371_3(Fam_3352 [★Target])
"(3327, 3352)",9,[3327],202104TB-W70-N1_bin.204.purify_k141_859474,202104TB-W70-N1_bin.204.purify_k141_859474_164-2697,202104TB-W70-N1_bin.204.purify_k141_859474_2(Fam_3352 [★Target]) --> 202104TB-W70-N1_bin.204.purify_k141_859474_3(Fam_3327 [★Target])
"(3327, 3352)",9,[3327],202104TB-W71-N1_bin.7.purify_k141_1139186,202104TB-W71-N1_bin.7.purify_k141_1139186_164-2697,202104TB-W71-N1_bin.7.purify_k141_1139186_2(Fam_3352 [★Target]) --> 202104TB-W71-N1_bin.7.purify_k141_1139186_3(Fam_3327 [★Target])
"(10482, 12281)",9,[12281],202104TB-W33-N1_bin.95.purify_k141_888214,202104TB-W33-N1_bin.95.purify_k141_888214_7437-8002,202104TB-W33-N1_bin.95.purify_k141_888214_9(Fam_12281 [★Target]) --> 202104TB-W33-N1_bin.95.purify_k141_888214_10(Fam_10482 [★Target])
"(10482, 12281)",9,[12281],BGBMC-20S-3-N1_bin.97.purify_k141_4041,BGBMC-20S-3-N1_bin.97.purify_k141_4041_6831-7396,BGBMC-20S-3-N1_bin.97.purify_k141_4041_8(Fam_12281 [★Target]) --> BGBMC-20S-3-N1_bin.97.purify_k141_4041_9(Fam_10482 [★Target])
"(10482, 12281)",9,[12281],CE-20S-1-N1_bin.40.purify_k141_1648628,CE-20S-1-N1_bin.40.purify_k141_1648628_8144-8709,CE-20S-1-N1_bin.40.purify_k141_1648628_12(Fam_10482 [★Target]) --> CE-20S-1-N1_bin.40.purify_k141_1648628_13(Fam_12281 [★Target])
"(10482, 12281)",9,[12281],CE-20S-3-N1_bin.139.purify_k141_194707,CE-20S-3-N1_bin.139.purify_k141_194707_5165-5730,CE-20S-3-N1_bin.139.purify_k141_194707_8(Fam_10482 [★Target]) --> CE-20S-3-N1_bin.139.purify_k141_194707_9(Fam_12281 [★Target])
"(10482, 12281)",9,[12281],CE-D-S-28.1m-N2_bin.74.purify_k141_669681,CE-D-S-28.1m-N2_bin.74.purify_k141_669681_336-901,CE-D-S-28.1m-N2_bin.74.purify_k141_669681_2(Fam_10482 [★Target]) --> CE-D-S-28.1m-N2_bin.74.purify_k141_669681_3(Fam_12281 [★Target])
"(10506, 12670)",8,[12670],202104TB-W31-N1_bin.159.purify_k141_595406,202104TB-W31-N1_bin.159.purify_k141_595406_5494-6293,202104TB-W31-N1_bin.159.purify_k141_595406_10(Fam_12670 [★Target]) --> 202104TB-W31-N1_bin.159.purify_k141_595406_11(Fam_10506 [★Target])
"(10506, 12670)",8,[12670],202104TB-W32-N1_bin.72.purify_k141_395264,202104TB-W32-N1_bin.72.purify_k141_395264_7525-8324,202104TB-W32-N1_bin.72.purify_k141_395264_12(Fam_12670 [★Target]) --> 202104TB-W32-N1_bin.72.purify_k141_395264_13(Fam_10506 [★Target])
"(10506, 12670)",8,[12670],202104TB-W40-N1_bin.52.purify_k141_592642,202104TB-W40-N1_bin.52.purify_k141_592642_7589-8388,202104TB-W40-N1_bin.52.purify_k141_592642_11(Fam_12670 [★Target]) --> 202104TB-W40-N1_bin.52.purify_k141_592642_12(Fam_10506 [★Target])
"(10506, 12670)",8,[12670],202104TB-W41-N1_bin.69.purify_k141_1573940,202104TB-W41-N1_bin.69.purify_k141_1573940_1905-2704,202104TB-W41-N1_bin.69.purify_k141_1573940_6(Fam_12670 [★Target]) --> 202104TB-W41-N1_bin.69.purify_k141_1573940_7(Fam_10506 [★Target])
"(10506, 12670)",8,[12670],YM-3-34.9m-N1_bin.112.purify_k141_1293387,YM-3-34.9m-N1_bin.112.purify_k141_1293387_7421-8220,YM-3-34.9m-N1_bin.112.purify_k141_1293387_12(Fam_12670 [★Target]) --> YM-3-34.9m-N1_bin.112.purify_k141_1293387_13(Fam_10506 [★Target])
"(11683, 12256)",8,"[11683, 12256]",NMC-S-5-N1_bin.183.purify_k141_1071174,NMC-S-5-N1_bin.183.purify_k141_1071174_18246-19263,NMC-S-5-N1_bin.183.purify_k141_1071174_18(Fam_11683 [★Target]) --> NMC-S-5-N1_bin.183.purify_k141_1071174_19(Fam_12256 [★Target])
"(11683, 12256)",8,"[11683, 12256]",NMC-S-6-N1_bin.193.purify_k141_2479802,NMC-S-6-N1_bin.193.purify_k141_2479802_19955-20972,NMC-S-6-N1_bin.193.purify_k141_2479802_19(Fam_11683 [★Target]) --> NMC-S-6-N1_bin.193.purify_k141_2479802_20(Fam_12256 [★Target])
"(11683, 12256)",8,"[11683, 12256]",NMC-S-7-N1_bin.122.purify_k141_86529,NMC-S-7-N1_bin.122.purify_k141_86529_7594-8611,NMC-S-7-N1_bin.122.purify_k141_86529_12(Fam_12256 [★Target]) --> NMC-S-7-N1_bin.122.purify_k141_86529_13(Fam_11683 [★Target])
"(11683, 12256)",8,"[11683, 12256]",YZYC-20S-1-N1_bin.182.purify_k141_1828287,YZYC-20S-1-N1_bin.182.purify_k141_1828287_8562-9579,YZYC-20S-1-N1_bin.182.purify_k141_1828287_10(Fam_11683 [★Target]) --> YZYC-20S-1-N1_bin.182.purify_k141_1828287_11(Fam_12256 [★Target])
"(11683, 12256)",8,"[11683, 12256]",YZYC-20S-4-N1_bin.159.purify_k141_828185,YZYC-20S-4-N1_bin.159.purify_k141_828185_7818-8835,YZYC-20S-4-N1_bin.159.purify_k141_828185_9(Fam_11683 [★Target]) --> YZYC-20S-4-N1_bin.159.purify_k141_828185_10(Fam_12256 [★Target])
"(2752, 4706)",8,[4706],202104TB-W24-N1_bin.24.purify_k141_1912813,202104TB-W24-N1_bin.24.purify_k141_1912813_3167-5645,202104TB-W24-N1_bin.24.purify_k141_1912813_6(Fam_4706 [★Target]) --> 202104TB-W24-N1_bin.24.purify_k141_1912813_7(Fam_2752 [★Target])
"(2752, 4706)",8,[4706],202106QH-W11-N1_bin.109.purify_k141_459680,202106QH-W11-N1_bin.109.purify_k141_459680_1443-3921,202106QH-W11-N1_bin.109.purify_k141_459680_4(Fam_4706 [★Target]) --> 202106QH-W11-N1_bin.109.purify_k141_459680_5(Fam_2752 [★Target])
"(2752, 4706)",8,[4706],202106QH-W19-N1_bin.110.purify_k141_1442494,202106QH-W19-N1_bin.110.purify_k141_1442494_14780-17262,202106QH-W19-N1_bin.110.purify_k141_1442494_15(Fam_4706 [★Target]) --> 202106QH-W19-N1_bin.110.purify_k141_1442494_16(Fam_2752 [★Target])
"(2752, 4706)",8,[4706],202106QH-W29-N1_bin.76.purify_k141_299966,202106QH-W29-N1_bin.76.purify_k141_299966_1398-3876,202106QH-W29-N1_bin.76.purify_k141_299966_2(Fam_2752 [★Target]) --> 202106QH-W29-N1_bin.76.purify_k141_299966_3(Fam_4706 [★Target])
"(2752, 4706)",8,[4706],202106QH-W39-N1_bin.52.purify_k141_289607,202106QH-W39-N1_bin.52.purify_k141_289607_819-3297,202106QH-W39-N1_bin.52.purify_k141_289607_2(Fam_2752 [★Target]) --> 202106QH-W39-N1_bin.52.purify_k141_289607_3(Fam_4706 [★Target])
"(686, 4408)",8,[686],202104TB-W41-N1_bin.60.purify_k141_1113600,202104TB-W41-N1_bin.60.purify_k141_1113600_2-1593,202104TB-W41-N1_bin.60.purify_k141_1113600_1(Fam_686 [★Target]) --> 202104TB-W41-N1_bin.60.purify_k141_1113600_2(Fam_4408 [★Target])
"(686, 4408)",8,[686],202104TB-W69-N1_bin.195.purify_k141_424522,202104TB-W69-N1_bin.195.purify_k141_424522_51-3505,202104TB-W69-N1_bin.195.purify_k141_424522_1(Fam_4408 [★Target]) --> 202104TB-W69-N1_bin.195.purify_k141_424522_2(Fam_686 [★Target])
"(686, 4408)",8,[686],202104TB-W71-N1_bin.2.purify_k141_1235321,202104TB-W71-N1_bin.2.purify_k141_1235321_1-2573,202104TB-W71-N1_bin.2.purify_k141_1235321_1(Fam_686 [★Target]) --> 202104TB-W71-N1_bin.2.purify_k141_1235321_2(Fam_4408 [★Target])
"(686, 4408)",8,[686],202106QH-W25-N1_bin.155.purify_k141_1870165,202106QH-W25-N1_bin.155.purify_k141_1870165_1-2068,202106QH-W25-N1_bin.155.purify_k141_1870165_1(Fam_686 [★Target]) --> 202106QH-W25-N1_bin.155.purify_k141_1870165_2(Fam_4408 [★Target])
"(686, 4408)",8,[686],202106QH-W28-N1_bin.85.purify_k141_15108,202106QH-W28-N1_bin.85.purify_k141_15108_3-2446,202106QH-W28-N1_bin.85.purify_k141_15108_1(Fam_4408 [★Target]) --> 202106QH-W28-N1_bin.85.purify_k141_15108_2(Fam_686 [★Target])
"(280, 340)",7,[280],202106QH-W19-N1_bin.102.purify_k141_2549715,202106QH-W19-N1_bin.102.purify_k141_2549715_2-6356,202106QH-W19-N1_bin.102.purify_k141_2549715_1(Fam_280 [★Target]) --> 202106QH-W19-N1_bin.102.purify_k141_2549715_3(Fam_340 [★Target])
"(280, 340)",7,[280],202106QH-W28-N1_bin.19.purify_k141_911117,202106QH-W28-N1_bin.19.purify_k141_911117_1994-9404,202106QH-W28-N1_bin.19.purify_k141_911117_3(Fam_340 [★Target]) --> 202106QH-W28-N1_bin.19.purify_k141_911117_5(Fam_280 [★Target])
"(280, 340)",7,[280],202106QH-W32-N1_bin.110.purify_k141_701361,202106QH-W32-N1_bin.110.purify_k141_701361_1994-9404,202106QH-W32-N1_bin.110.purify_k141_701361_3(Fam_340 [★Target]) --> 202106QH-W32-N1_bin.110.purify_k141_701361_5(Fam_280 [★Target])
"(280, 340)",7,[280],202106QH-W33-N1_bin.57.purify_k141_563739,202106QH-W33-N1_bin.57.purify_k141_563739_1994-9404,202106QH-W33-N1_bin.57.purify_k141_563739_3(Fam_340 [★Target]) --> 202106QH-W33-N1_bin.57.purify_k141_563739_5(Fam_280 [★Target])
"(280, 340)",7,[280],202106QH-W36-N1_bin.93.purify_k141_115584,202106QH-W36-N1_bin.93.purify_k141_115584_2-6623,202106QH-W36-N1_bin.93.purify_k141_115584_1(Fam_280 [★Target]) --> 202106QH-W36-N1_bin.93.purify_k141_115584_3(Fam_340 [★Target])
"(3255, 9815)",6,"[3255, 9815]",202106QH-W28-N1_bin.139.purify_k141_208423,202106QH-W28-N1_bin.139.purify_k141_208423_8659-10379,202106QH-W28-N1_bin.139.purify_k141_208423_8(Fam_3255 [★Target]) --> 202106QH-W28-N1_bin.139.purify_k141_208423_9(Fam_9815 [★Target])
"(3255, 9815)",6,"[3255, 9815]",202106QH-W33-N1_bin.85.purify_k141_672170,202106QH-W33-N1_bin.85.purify_k141_672170_3078-4813,202106QH-W33-N1_bin.85.purify_k141_672170_4(Fam_3255 [★Target]) --> 202106QH-W33-N1_bin.85.purify_k141_672170_5(Fam_9815 [★Target])
"(3255, 9815)",6,"[3255, 9815]",202106QH-W40-N1_bin.23.purify_k141_294357,202106QH-W40-N1_bin.23.purify_k141_294357_11294-13029,202106QH-W40-N1_bin.23.purify_k141_294357_10(Fam_3255 [★Target]) --> 202106QH-W40-N1_bin.23.purify_k141_294357_11(Fam_9815 [★Target])
"(3255, 9815)",6,"[3255, 9815]",CE-20S-1-N1_bin.31.purify_k141_294466,CE-20S-1-N1_bin.31.purify_k141_294466_24634-26369,CE-20S-1-N1_bin.31.purify_k141_294466_21(Fam_9815 [★Target]) --> CE-20S-1-N1_bin.31.purify_k141_294466_22(Fam_3255 [★Target])
"(3255, 9815)",6,"[3255, 9815]",NMC-S-6-N1_bin.83.purify_k141_504212,NMC-S-6-N1_bin.83.purify_k141_504212_3163-4898,NMC-S-6-N1_bin.83.purify_k141_504212_4(Fam_9815 [★Target]) --> NMC-S-6-N1_bin.83.purify_k141_504212_5(Fam_3255 [★Target])
"(5546, 11465)",6,[5546],HHSD1-N1_bin.25.purify_k141_2228842,HHSD1-N1_bin.25.purify_k141_2228842_135-1431,HHSD1-N1_bin.25.purify_k141_2228842_2(Fam_11465 [★Target]) --> HHSD1-N1_bin.25.purify_k141_2228842_3(Fam_5546 [★Target])
"(5546, 11465)",6,[5546],KMC-20S-2-N1_bin.119.purify_k141_679146,KMC-20S-2-N1_bin.119.purify_k141_679146_4707-5890,KMC-20S-2-N1_bin.119.purify_k141_679146_10(Fam_5546 [★Target]) --> KMC-20S-2-N1_bin.119.purify_k141_679146_11(Fam_11465 [★Target])
"(5546, 11465)",6,[5546],KMC-20S-4-N1_bin.66.purify_k141_546998,KMC-20S-4-N1_bin.66.purify_k141_546998_2244-3427,KMC-20S-4-N1_bin.66.purify_k141_546998_6(Fam_5546 [★Target]) --> KMC-20S-4-N1_bin.66.purify_k141_546998_7(Fam_11465 [★Target])
"(5546, 11465)",6,[5546],KMC-20S-5-N1_bin.41.purify_k141_418020,KMC-20S-5-N1_bin.41.purify_k141_418020_1785-2950,KMC-20S-5-N1_bin.41.purify_k141_418020_5(Fam_5546 [★Target]) --> KMC-20S-5-N1_bin.41.purify_k141_418020_6(Fam_11465 [★Target])
"(5546, 11465)",6,[5546],LLSD-7-N1_bin.37.purify_k141_1380766,LLSD-7-N1_bin.37.purify_k141_1380766_8948-10163,LLSD-7-N1_bin.37.purify_k141_1380766_11(Fam_5546 [★Target]) --> LLSD-7-N1_bin.37.purify_k141_1380766_12(Fam_11465 [★Target])
"(5907, 5974)",6,[5907],202104TB-W31-N1_bin.17.purify_k141_46635,202104TB-W31-N1_bin.17.purify_k141_46635_1848-3433,202104TB-W31-N1_bin.17.purify_k141_46635_3(Fam_5907 [★Target]) --> 202104TB-W31-N1_bin.17.purify_k141_46635_4(Fam_5974 [★Target])
"(5907, 5974)",6,[5907],202104TB-W68-N1_bin.5.purify_k141_1951884,202104TB-W68-N1_bin.5.purify_k141_1951884_6544-8154,202104TB-W68-N1_bin.5.purify_k141_1951884_9(Fam_5907 [★Target]) --> 202104TB-W68-N1_bin.5.purify_k141_1951884_10(Fam_5974 [★Target])
"(5907, 5974)",6,[5907],202106QH-W19-N1_bin.33.purify_k141_1382699,202106QH-W19-N1_bin.33.purify_k141_1382699_828-2416,202106QH-W19-N1_bin.33.purify_k141_1382699_3(Fam_5907 [★Target]) --> 202106QH-W19-N1_bin.33.purify_k141_1382699_4(Fam_5974 [★Target])
"(5907, 5974)",6,[5907],202106QH-W29-N1_bin.96.purify_k141_599998,202106QH-W29-N1_bin.96.purify_k141_599998_378-1654,202106QH-W29-N1_bin.96.purify_k141_599998_2(Fam_5974 [★Target]) --> 202106QH-W29-N1_bin.96.purify_k141_599998_3(Fam_5907 [★Target])
"(5907, 5974)",6,[5907],202106QH-W36-N1_bin.92.purify_k141_687179,202106QH-W36-N1_bin.92.purify_k141_687179_3420-5020,202106QH-W36-N1_bin.92.purify_k141_687179_6(Fam_5907 [★Target]) --> 202106QH-W36-N1_bin.92.purify_k141_687179_7(Fam_5974 [★Target])
"(414, 3846)",6,[3846],202106QH-W19-N1_bin.158.purify_k141_1109426,202106QH-W19-N1_bin.158.purify_k141_1109426_3695-7694,202106QH-W19-N1_bin.158.purify_k141_1109426_5(Fam_3846 [★Target]) --> 202106QH-W19-N1_bin.158.purify_k141_1109426_6(Fam_414 [★Target])
"(414, 3846)",6,[3846],202106QH-W24-N1_bin.21.purify_k141_815353,202106QH-W24-N1_bin.21.purify_k141_815353_4267-8266,202106QH-W24-N1_bin.21.purify_k141_815353_5(Fam_3846 [★Target]) --> 202106QH-W24-N1_bin.21.purify_k141_815353_6(Fam_414 [★Target])
"(414, 3846)",6,[3846],202106QH-W27-N1_bin.258.purify_k141_162759,202106QH-W27-N1_bin.258.purify_k141_162759_850-4849,202106QH-W27-N1_bin.258.purify_k141_162759_2(Fam_3846 [★Target]) --> 202106QH-W27-N1_bin.258.purify_k141_162759_3(Fam_414 [★Target])
"(414, 3846)",6,[3846],YM-S-27.0m-N1_bin.205.purify_k141_266919,YM-S-27.0m-N1_bin.205.purify_k141_266919_10114-14191,YM-S-27.0m-N1_bin.205.purify_k141_266919_16(Fam_3846 [★Target]) --> YM-S-27.0m-N1_bin.205.purify_k141_266919_17(Fam_414 [★Target])
"(414, 3846)",6,[3846],YM-S-43m-N3_bin.169.purify_k141_1038752,YM-S-43m-N3_bin.169.purify_k141_1038752_2642-6719,YM-S-43m-N3_bin.169.purify_k141_1038752_6(Fam_3846 [★Target]) --> YM-S-43m-N3_bin.169.purify_k141_1038752_7(Fam_414 [★Target])
"(3136, 9040)",6,[9040],202104TB-W26-N1_bin.120.purify_k141_561861,202104TB-W26-N1_bin.120.purify_k141_561861_3228-5024,202104TB-W26-N1_bin.120.purify_k141_561861_5(Fam_9040 [★Target]) --> 202104TB-W26-N1_bin.120.purify_k141_561861_6(Fam_3136 [★Target])
"(3136, 9040)",6,[9040],202104TB-W34-N1_bin.95.purify_k141_1223110,202104TB-W34-N1_bin.95.purify_k141_1223110_8056-9852,202104TB-W34-N1_bin.95.purify_k141_1223110_6(Fam_3136 [★Target]) --> 202104TB-W34-N1_bin.95.purify_k141_1223110_7(Fam_9040 [★Target])
"(3136, 9040)",6,[9040],BGBMC-20S-1-N1_bin.22.purify_k141_288953,BGBMC-20S-1-N1_bin.22.purify_k141_288953_2637-4433,BGBMC-20S-1-N1_bin.22.purify_k141_288953_4(Fam_9040 [★Target]) --> BGBMC-20S-1-N1_bin.22.purify_k141_288953_5(Fam_3136 [★Target])
"(3136, 9040)",6,[9040],BGBMC-20S-1-N1_bin.62.purify_k141_1158688,BGBMC-20S-1-N1_bin.62.purify_k141_1158688_951-2692,BGBMC-20S-1-N1_bin.62.purify_k141_1158688_2(Fam_9040 [★Target]) --> BGBMC-20S-1-N1_bin.62.purify_k141_1158688_3(Fam_3136 [★Target])
"(3136, 9040)",6,[9040],BGBMC-20S-2-N1_bin.282.purify_k141_918260,BGBMC-20S-2-N1_bin.282.purify_k141_918260_6428-8224,BGBMC-20S-2-N1_bin.282.purify_k141_918260_6(Fam_3136 [★Target]) --> BGBMC-20S-2-N1_bin.282.purify_k141_918260_7(Fam_9040 [★Target])
"(3810, 6053)",6,[6053],202106QH-W28-N1_bin.101.purify_k141_1212831,202106QH-W28-N1_bin.101.purify_k141_1212831_2172-4110,202106QH-W28-N1_bin.101.purify_k141_1212831_5(Fam_6053 [★Target]) --> 202106QH-W28-N1_bin.101.purify_k141_1212831_6(Fam_3810 [★Target])
"(3810, 6053)",6,[6053],BGBMC-20S-3-N1_bin.183.purify_k141_1052151,BGBMC-20S-3-N1_bin.183.purify_k141_1052151_2507-4256,BGBMC-20S-3-N1_bin.183.purify_k141_1052151_5(Fam_3810 [★Target]) --> BGBMC-20S-3-N1_bin.183.purify_k141_1052151_6(Fam_6053 [★Target])
"(3810, 6053)",6,[6053],QHH8-N1_bin.19.purify_k141_324353,QHH8-N1_bin.19.purify_k141_324353_3037-4900,QHH8-N1_bin.19.purify_k141_324353_6(Fam_3810 [★Target]) --> QHH8-N1_bin.19.purify_k141_324353_7(Fam_6053 [★Target])
"(3810, 6053)",6,[6053],QHH8-N1_bin.32.purify_k141_997902,QHH8-N1_bin.32.purify_k141_997902_1991-3848,QHH8-N1_bin.32.purify_k141_997902_5(Fam_6053 [★Target]) --> QHH8-N1_bin.32.purify_k141_997902_6(Fam_3810 [★Target])
"(3810, 6053)",6,[6053],YZYC-20S-4-N1_bin.44.purify_k141_828364,YZYC-20S-4-N1_bin.44.purify_k141_828364_16025-17882,YZYC-20S-4-N1_bin.44.purify_k141_828364_13(Fam_3810 [★Target]) --> YZYC-20S-4-N1_bin.44.purify_k141_828364_14(Fam_6053 [★Target])
"(6490, 7015)",6,[7015],202104TB-W69-N1_bin.79.purify_k141_336965,202104TB-W69-N1_bin.79.purify_k141_336965_4128-6493,202104TB-W69-N1_bin.79.purify_k141_336965_6(Fam_7015 [★Target]) --> 202104TB-W69-N1_bin.79.purify_k141_336965_9(Fam_6490 [★Target])
"(6490, 7015)",6,[7015],BGBMC-20S-1-N1_bin.122.purify_k141_633535,BGBMC-20S-1-N1_bin.122.purify_k141_633535_2278-4643,BGBMC-20S-1-N1_bin.122.purify_k141_633535_4(Fam_7015 [★Target]) --> BGBMC-20S-1-N1_bin.122.purify_k141_633535_7(Fam_6490 [★Target])
"(6490, 7015)",6,[7015],BGBMC-20S-2-N1_bin.20.purify_k141_1989069,BGBMC-20S-2-N1_bin.20.purify_k141_1989069_4718-7083,BGBMC-20S-2-N1_bin.20.purify_k141_1989069_9(Fam_7015 [★Target]) --> BGBMC-20S-2-N1_bin.20.purify_k141_1989069_12(Fam_6490 [★Target])
"(6490, 7015)",6,[7015],CE-20S-1-N1_bin.102.purify_k141_1311117,CE-20S-1-N1_bin.102.purify_k141_1311117_175-2540,CE-20S-1-N1_bin.102.purify_k141_1311117_1(Fam_6490 [★Target]) --> CE-20S-1-N1_bin.102.purify_k141_1311117_4(Fam_7015 [★Target])
"(6490, 7015)",6,[7015],CE-D-S-28.1m-N2_bin.39.purify_k141_72803,CE-D-S-28.1m-N2_bin.39.purify_k141_72803_181-2546,CE-D-S-28.1m-N2_bin.39.purify_k141_72803_1(Fam_6490 [★Target]) --> CE-D-S-28.1m-N2_bin.39.purify_k141_72803_4(Fam_7015 [★Target])
"(1825, 10592)",6,"[1825, 10592]",202104TB-W25-N1_bin.4.purify_k141_1061305,202104TB-W25-N1_bin.4.purify_k141_1061305_8663-10685,202104TB-W25-N1_bin.4.purify_k141_1061305_10(Fam_1825 [★Target]) --> 202104TB-W25-N1_bin.4.purify_k141_1061305_11(Fam_10592 [★Target])
"(1825, 10592)",6,"[1825, 10592]",202104TB-W31-N1_bin.41.purify_k141_1440440,202104TB-W31-N1_bin.41.purify_k141_1440440_7788-9810,202104TB-W31-N1_bin.41.purify_k141_1440440_10(Fam_1825 [★Target]) --> 202104TB-W31-N1_bin.41.purify_k141_1440440_11(Fam_10592 [★Target])
"(1825, 10592)",6,"[1825, 10592]",202104TB-W34-N1_bin.194.purify_k141_728107,202104TB-W34-N1_bin.194.purify_k141_728107_12663-14685,202104TB-W34-N1_bin.194.purify_k141_728107_14(Fam_1825 [★Target]) --> 202104TB-W34-N1_bin.194.purify_k141_728107_15(Fam_10592 [★Target])
