homology_cluster_id,gene_name,gene_type,genome_id,physical_cluster_id
20,202106QH-W27-N1_bin.112.purify_k141_489660_1,known_defense,202106QH-W27-N1_bin.112.purify_k141_489660,202106QH-W27-N1_bin.112.purify_k141_489660_2-580
20,BMC20S-2-N1_bin.67.purify_k141_949468_77,known_defense,BMC20S-2-N1_bin.67.purify_k141_949468,BMC20S-2-N1_bin.67.purify_k141_949468_78449-87035
21,202106QH-W25-N1_bin.24.purify_k141_2962302_4,known_defense,202106QH-W25-N1_bin.24.purify_k141_2962302,202106QH-W25-N1_bin.24.purify_k141_2962302_1033-2310
21,PC-20S-3-N1_bin.119.purify_k141_1330105_1,candidate,PC-20S-3-N1_bin.119.purify_k141_1330105,PC-20S-3-N1_bin.119.purify_k141_1330105_2-6621
22,202104TB-W51-N1_bin.49.purify_k141_1092644_50,known_defense,202104TB-W51-N1_bin.49.purify_k141_1092644,202104TB-W51-N1_bin.49.purify_k141_1092644_51106-59737
22,202104TB-W60-N1_bin.6.purify_k141_1850534_9,candidate,202104TB-W60-N1_bin.6.purify_k141_1850534,202104TB-W60-N1_bin.6.purify_k141_1850534_8213-8423
22,202106QH-W19-N1_bin.27.purify_k141_2242813_9,candidate,202106QH-W19-N1_bin.27.purify_k141_2242813,202106QH-W19-N1_bin.27.purify_k141_2242813_3642-5717
22,CE-20S-2-N1_bin.78.purify_k141_1179200_9,candidate,CE-20S-2-N1_bin.78.purify_k141_1179200,CE-20S-2-N1_bin.78.purify_k141_1179200_5879-13994
22,YZYC-20S-2-N1_bin.25.purify_k141_1459993_3,known_defense,YZYC-20S-2-N1_bin.25.purify_k141_1459993,YZYC-20S-2-N1_bin.25.purify_k141_1459993_430-982
23,BMC20S-2-N1_bin.44.purify_k141_2928735_4,candidate,BMC20S-2-N1_bin.44.purify_k141_2928735,BMC20S-2-N1_bin.44.purify_k141_2928735_2115-11049
24,BMC20S-N1-N1_bin.71.purify_k141_347561_3,candidate,BMC20S-N1-N1_bin.71.purify_k141_347561,BMC20S-N1-N1_bin.71.purify_k141_347561_183-7852
24,CBL-4-N1_bin.46.purify_k141_2109989_8,known_defense,CBL-4-N1_bin.46.purify_k141_2109989,CBL-4-N1_bin.46.purify_k141_2109989_5208-6457
24,QHH8-N1_bin.229.purify_k141_1291298_6,known_defense,QHH8-N1_bin.229.purify_k141_1291298,QHH8-N1_bin.229.purify_k141_1291298_4420-5390
24,ZJ-S-N13.9m-N2_bin.70.purify_k141_396575_2,known_defense,ZJ-S-N13.9m-N2_bin.70.purify_k141_396575,ZJ-S-N13.9m-N2_bin.70.purify_k141_396575_2-572
25,202106QH-W27-N1_bin.200.purify_k141_2287734_4,candidate,202106QH-W27-N1_bin.200.purify_k141_2287734,202106QH-W27-N1_bin.200.purify_k141_2287734_2398-2810
25,BMC20S-N1-N1_bin.22.purify_k141_1312389_18,known_defense,BMC20S-N1-N1_bin.22.purify_k141_1312389,BMC20S-N1-N1_bin.22.purify_k141_1312389_16971-19070
25,CE-B-S-2-N1_bin.156.purify_k141_632989_1,candidate,CE-B-S-2-N1_bin.156.purify_k141_632989,CE-B-S-2-N1_bin.156.purify_k141_632989_1-439
25,KMC-20S-2-N1_bin.110.purify_k141_2681348_2,candidate,KMC-20S-2-N1_bin.110.purify_k141_2681348,KMC-20S-2-N1_bin.110.purify_k141_2681348_3-6085
25,NRPC-20S-1-N1_bin.163.purify_k141_182112_24,candidate,NRPC-20S-1-N1_bin.163.purify_k141_182112,NRPC-20S-1-N1_bin.163.purify_k141_182112_13229-13647
25,TMRSD-N1_bin.9.purify_k141_1083211_5,candidate,TMRSD-N1_bin.9.purify_k141_1083211,TMRSD-N1_bin.9.purify_k141_1083211_2069-2444
26,202104TB-W33-N1_bin.92.purify_k141_378806_1,known_defense,202104TB-W33-N1_bin.92.purify_k141_378806,202104TB-W33-N1_bin.92.purify_k141_378806_1-985
26,202106QH-W16-N1_bin.10.purify_k141_65869_1,candidate,202106QH-W16-N1_bin.10.purify_k141_65869,202106QH-W16-N1_bin.10.purify_k141_65869_2-1895
26,202106QH-W24-N1_bin.233.purify_k141_2795901_5,candidate,202106QH-W24-N1_bin.233.purify_k141_2795901,202106QH-W24-N1_bin.233.purify_k141_2795901_1161-1708
26,CE-D-S-N1_bin.42.purify_k141_1725182_1,known_defense,CE-D-S-N1_bin.42.purify_k141_1725182,CE-D-S-N1_bin.42.purify_k141_1725182_1-442
26,NMC-S-4-N1_bin.148.purify_k141_2251138_15,known_defense,NMC-S-4-N1_bin.148.purify_k141_2251138,NMC-S-4-N1_bin.148.purify_k141_2251138_13564-21250
26,NMC-S-8-N1_bin.158.purify_k141_194595_17,candidate,NMC-S-8-N1_bin.158.purify_k141_194595,NMC-S-8-N1_bin.158.purify_k141_194595_17490-18504
27,202104TB-W51-N1_bin.73.purify_k141_717371_8,candidate,202104TB-W51-N1_bin.73.purify_k141_717371,202104TB-W51-N1_bin.73.purify_k141_717371_10977-17119
27,YZYC-20S-1-N1_bin.251.purify_k141_966306_5,candidate,YZYC-20S-1-N1_bin.251.purify_k141_966306,YZYC-20S-1-N1_bin.251.purify_k141_966306_740-2240
27,NMC-S-4-N1_bin.33.purify_k141_899713_4,known_defense,NMC-S-4-N1_bin.33.purify_k141_899713,NMC-S-4-N1_bin.33.purify_k141_899713_135-2918
28,202104TB-W51-N1_bin.162.purify_k141_639077_5,candidate,202104TB-W51-N1_bin.162.purify_k141_639077,202104TB-W51-N1_bin.162.purify_k141_639077_4703-5636
28,202104TB-W71-N1_bin.167.purify_k141_38776_1,known_defense,202104TB-W71-N1_bin.167.purify_k141_38776,202104TB-W71-N1_bin.167.purify_k141_38776_1-864
28,BGBMC-20S-1-N1_bin.16.purify_k141_1509131_6,candidate,BGBMC-20S-1-N1_bin.16.purify_k141_1509131,BGBMC-20S-1-N1_bin.16.purify_k141_1509131_2570-3260
28,QHH6-N1_bin.251.purify_k141_197158_11,candidate,QHH6-N1_bin.251.purify_k141_197158,QHH6-N1_bin.251.purify_k141_197158_7604-13869
29,202104TB-W31-N1_bin.160.purify_k141_1311696_2,candidate,202104TB-W31-N1_bin.160.purify_k141_1311696,202104TB-W31-N1_bin.160.purify_k141_1311696_342-6361
29,202106QH-W19-N1_bin.220.purify_k141_1913681_5,candidate,202106QH-W19-N1_bin.220.purify_k141_1913681,202106QH-W19-N1_bin.220.purify_k141_1913681_1506-2040
30,202106QH-W39-N1_bin.14.purify_k141_105094_3,candidate,202106QH-W39-N1_bin.14.purify_k141_105094,202106QH-W39-N1_bin.14.purify_k141_105094_250-3198
30,QHH8-N1_bin.10.purify_k141_1289657_14,candidate,QHH8-N1_bin.10.purify_k141_1289657,QHH8-N1_bin.10.purify_k141_1289657_14435-20893
30,SLSD2-N1_bin.17.purify_k141_2109122_4,candidate,SLSD2-N1_bin.17.purify_k141_2109122,SLSD2-N1_bin.17.purify_k141_2109122_2171-2531
31,GMZ14-N1_bin.115.purify_k141_880594_9,known_defense,GMZ14-N1_bin.115.purify_k141_880594,GMZ14-N1_bin.115.purify_k141_880594_6064-14807
31,YMH1-N1_bin.89.purify_k141_3379078_11,candidate,YMH1-N1_bin.89.purify_k141_3379078,YMH1-N1_bin.89.purify_k141_3379078_5333-6985
31,YM-S-27.0m-N1_bin.35.purify_k141_556593_2,known_defense,YM-S-27.0m-N1_bin.35.purify_k141_556593,YM-S-27.0m-N1_bin.35.purify_k141_556593_3-2435
32,202106QH-W33-N1_bin.83.purify_k141_725505_1,candidate,202106QH-W33-N1_bin.83.purify_k141_725505,202106QH-W33-N1_bin.83.purify_k141_725505_1-808
32,QHH8-N1_bin.186.purify_k141_1736353_3,known_defense,QHH8-N1_bin.186.purify_k141_1736353,QHH8-N1_bin.186.purify_k141_1736353_1102-9167
32,ZJ-S-05.4m-N1_bin.115.purify_k141_2087772_1,candidate,ZJ-S-05.4m-N1_bin.115.purify_k141_2087772,ZJ-S-05.4m-N1_bin.115.purify_k141_2087772_3-1156
33,202104TB-W25-N1_bin.71.purify_k141_366200_1,candidate,202104TB-W25-N1_bin.71.purify_k141_366200,202104TB-W25-N1_bin.71.purify_k141_366200_3-682
33,202104TB-W70-N1_bin.3.purify_k141_361163_3,known_defense,202104TB-W70-N1_bin.3.purify_k141_361163,202104TB-W70-N1_bin.3.purify_k141_361163_918-6347
33,NRPC-20S-2-N1_bin.165.purify_k141_482138_5,known_defense,NRPC-20S-2-N1_bin.165.purify_k141_482138,NRPC-20S-2-N1_bin.165.purify_k141_482138_2264-7693
33,SLC-S-7-N1_bin.16.purify_k141_1015675_8,known_defense,SLC-S-7-N1_bin.16.purify_k141_1015675,SLC-S-7-N1_bin.16.purify_k141_1015675_5623-6661
34,202104TB-W30-N2_bin.99.purify_k141_2407422_5,known_defense,202104TB-W30-N2_bin.99.purify_k141_2407422,202104TB-W30-N2_bin.99.purify_k141_2407422_2258-8446
34,202106QH-W11-N1_bin.41.purify_k141_693426_5,candidate,202106QH-W11-N1_bin.41.purify_k141_693426,202106QH-W11-N1_bin.41.purify_k141_693426_2152-6421
34,GH-N1_bin.177.purify_k141_2441830_1,candidate,GH-N1_bin.177.purify_k141_2441830,GH-N1_bin.177.purify_k141_2441830_2-554
34,NMC-S-7-N1_bin.40.purify_k141_79384_2,candidate,NMC-S-7-N1_bin.40.purify_k141_79384,NMC-S-7-N1_bin.40.purify_k141_79384_680-6860
35,202104TB-W71-N1_bin.174.purify_k141_1187880_4,candidate,202104TB-W71-N1_bin.174.purify_k141_1187880,202104TB-W71-N1_bin.174.purify_k141_1187880_2868-4070
35,CN-B-S-N1_bin.33.purify_k141_2718461_1,candidate,CN-B-S-N1_bin.33.purify_k141_2718461,CN-B-S-N1_bin.33.purify_k141_2718461_3-9783
35,CN-S-N1_bin.20.purify_k141_172684_4,known_defense,CN-S-N1_bin.20.purify_k141_172684,CN-S-N1_bin.20.purify_k141_172684_4969-16384
35,KMC-20S-1-N1_bin.215.purify_k141_3344714_3,candidate,KMC-20S-1-N1_bin.215.purify_k141_3344714,KMC-20S-1-N1_bin.215.purify_k141_3344714_887-8071
36,202106QH-W18-N1_bin.9.purify_k141_3688635_4,candidate,202106QH-W18-N1_bin.9.purify_k141_3688635,202106QH-W18-N1_bin.9.purify_k141_3688635_2112-6653
36,202106QH-W18-N1_bin.9.purify_k141_3688635_5,candidate,202106QH-W18-N1_bin.9.purify_k141_3688635,202106QH-W18-N1_bin.9.purify_k141_3688635_2112-6653
36,202106QH-W24-N1_bin.98.purify_k141_1777638_1,candidate,202106QH-W24-N1_bin.98.purify_k141_1777638,202106QH-W24-N1_bin.98.purify_k141_1777638_3-2253
36,202106QH-W33-N1_bin.8.purify_k141_411895_6,candidate,202106QH-W33-N1_bin.8.purify_k141_411895,202106QH-W33-N1_bin.8.purify_k141_411895_3058-8813
36,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226_18,candidate,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226_18009-22815
36,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226_19,candidate,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226,CE-D-S-28.1m-N2_bin.98.purify_k141_1420226_18009-22815
36,GH-N1_bin.149.purify_k141_1240381_1,known_defense,GH-N1_bin.149.purify_k141_1240381,GH-N1_bin.149.purify_k141_1240381_1-1538
36,NMC-S-4-N1_bin.196.purify_k141_1119291_4,known_defense,NMC-S-4-N1_bin.196.purify_k141_1119291,NMC-S-4-N1_bin.196.purify_k141_1119291_370-2040
36,NMC-S-6-N1_bin.204.purify_k141_1055098_6,candidate,NMC-S-6-N1_bin.204.purify_k141_1055098,NMC-S-6-N1_bin.204.purify_k141_1055098_2169-2459
36,NMC-S-8-N1_bin.230.purify_k141_1011214_2,candidate,NMC-S-8-N1_bin.230.purify_k141_1011214,NMC-S-8-N1_bin.230.purify_k141_1011214_1-3594
36,YM-S-27.0m-N1_bin.222.purify_k141_1418875_2,candidate,YM-S-27.0m-N1_bin.222.purify_k141_1418875,YM-S-27.0m-N1_bin.222.purify_k141_1418875_482-1715
37,202106QH-W19-N1_bin.306.purify_k141_3584547_9,candidate,202106QH-W19-N1_bin.306.purify_k141_3584547,202106QH-W19-N1_bin.306.purify_k141_3584547_9995-16371
37,202106QH-W37-N1_bin.104.purify_k141_1284667_4,candidate,202106QH-W37-N1_bin.104.purify_k141_1284667,202106QH-W37-N1_bin.104.purify_k141_1284667_1878-3060
37,NMC-S-7-N1_bin.160.purify_k141_298970_6,candidate,NMC-S-7-N1_bin.160.purify_k141_298970,NMC-S-7-N1_bin.160.purify_k141_298970_3695-6562
37,QHH8-N1_bin.151.purify_k141_1689756_4,candidate,QHH8-N1_bin.151.purify_k141_1689756,QHH8-N1_bin.151.purify_k141_1689756_3741-5410
