gene_name,multi_label,binary_label,binary_confidence,file_name,batch_idx
NZ_CP009512.1_2250,RM__Type_I_REases,defense,0.9999943,RS_GCF_000970205.1_protein_labels.pkl,70
NZ_CP009512.1_2440,Gao_Iet__IetS,defense,0.9999056,RS_GCF_000970205.1_protein_labels.pkl,76
NZ_CP009512.1_2661,RM__Type_I_REases,defense,0.9996623,RS_GCF_000970205.1_protein_labels.pkl,83
NZ_CP009512.1_2663,RM__Type_I_S,defense,0.9994972,RS_GCF_000970205.1_protein_labels.pkl,83
NZ_CP009512.1_2664,RM__Type_I_MTases,defense,0.9996395,RS_GCF_000970205.1_protein_labels.pkl,83
NZ_CP009512.1_2853,other,defense,0.99648166,RS_GCF_000970205.1_protein_labels.pkl,89
NZ_CP009512.1_2944,other,defense,0.992535,RS_GCF_000970205.1_protein_labels.pkl,91
NZ_CP009512.1_3151,other,defense,0.997424,RS_GCF_000970205.1_protein_labels.pkl,98
NZ_CP009512.1_3190,RM__Type_I_MTases,defense,0.9930165,RS_GCF_000970205.1_protein_labels.pkl,99
NZ_CP009512.1_3198,RM__Type_I_REases,defense,0.9983924,RS_GCF_000970205.1_protein_labels.pkl,99
NZ_CP009512.1_3276,csf4_IV-A_1,defense,0.99904853,RS_GCF_000970205.1_protein_labels.pkl,102
JAHCGZ010000001.1_155,RM_Type_IV__Type_IV_REases,defense,0.99797577,GB_GCA_022117465.1_protein_labels.pkl,4
JAHCGZ010000001.1_163,other,defense,0.9922505,GB_GCA_022117465.1_protein_labels.pkl,5
JAHCGZ010000001.1_291,other,defense,0.9984635,GB_GCA_022117465.1_protein_labels.pkl,9
JAHCGZ010000001.1_409,RnlAB__RnlB,defense,0.99670047,GB_GCA_022117465.1_protein_labels.pkl,12
JAHCGZ010000002.1_211,RM_Type_II__Type_II_MTases,defense,0.9995431,GB_GCA_022117465.1_protein_labels.pkl,20
JAHCGZ010000002.1_276,AbiU__AbiU,defense,0.9992725,GB_GCA_022117465.1_protein_labels.pkl,22
JAHCGZ010000003.1_21,cas4_I_II_III_IV_V_VI_1,defense,0.9989385,GB_GCA_022117465.1_protein_labels.pkl,23
JAHCGZ010000003.1_26,other,defense,0.9979007,GB_GCA_022117465.1_protein_labels.pkl,24
JAHCGZ010000004.1_52,Pycsar__AG_cyclase,defense,0.99966323,GB_GCA_022117465.1_protein_labels.pkl,32
JAHCGZ010000005.1_3,other,defense,0.99107224,GB_GCA_022117465.1_protein_labels.pkl,36
JAHCGZ010000005.1_46,Pycsar__AG_cyclase,defense,0.9999167,GB_GCA_022117465.1_protein_labels.pkl,37
JAHCGZ010000006.1_9,RM_Type_II__Type_II_MTases,defense,0.9999018,GB_GCA_022117465.1_protein_labels.pkl,41
JAHCGZ010000007.1_18,RnlAB__RnlB,defense,0.9904745,GB_GCA_022117465.1_protein_labels.pkl,45
NZ_LT671858.1_111,AbiEii__AbiEii,defense,0.9945721,RS_GCF_900083515.1_protein_labels.pkl,3
NZ_LT671858.1_112,other,defense,0.992886,RS_GCF_900083515.1_protein_labels.pkl,3
NZ_LT671858.1_131,AbiEii__AbiEi_1,defense,0.9989812,RS_GCF_900083515.1_protein_labels.pkl,4
NZ_LT671858.1_132,AbiEii__AbiEii,defense,0.9995555,RS_GCF_900083515.1_protein_labels.pkl,4
NZ_LT671858.1_212,RM_Type_II__Type_II_REases,defense,0.9951767,RS_GCF_900083515.1_protein_labels.pkl,6
NZ_LT671858.1_331,other,defense,0.9998839,RS_GCF_900083515.1_protein_labels.pkl,10
NZ_LT671858.1_468,AbiEii__AbiEii,defense,0.9987967,RS_GCF_900083515.1_protein_labels.pkl,14
NZ_LT671858.1_594,Kiwa__KwaB,defense,0.9999331,RS_GCF_900083515.1_protein_labels.pkl,18
NZ_LT671858.1_742,Gao_TerY__TerYB,defense,0.9996346,RS_GCF_900083515.1_protein_labels.pkl,23
NZ_LT671858.1_743,Gao_TerY__TerYA,defense,0.9995894,RS_GCF_900083515.1_protein_labels.pkl,23
NZ_LT671858.1_839,RM_Type_II__Type_II_MTases,defense,0.99955493,RS_GCF_900083515.1_protein_labels.pkl,26
NZ_LT671858.1_927,RM_Type_II__Type_II_REases,defense,0.9961294,RS_GCF_900083515.1_protein_labels.pkl,28
NZ_LT671858.1_1021,Septu__PtuA,defense,0.9989741,RS_GCF_900083515.1_protein_labels.pkl,31
NZ_LT671858.1_1028,RM_Type_II__Type_II_REases,defense,0.9999521,RS_GCF_900083515.1_protein_labels.pkl,32
NZ_LT671858.1_1387,RM__Type_I_MTases,defense,0.9983144,RS_GCF_900083515.1_protein_labels.pkl,43
NZ_LT671858.1_1389,RM__Type_I_REases,defense,0.99797004,RS_GCF_900083515.1_protein_labels.pkl,43
NZ_LT671858.1_1533,RM_Type_II__Type_II_MTases,defense,0.99951875,RS_GCF_900083515.1_protein_labels.pkl,47
NZ_LT671858.1_1641,ShosTA__ShosA,defense,0.9997342,RS_GCF_900083515.1_protein_labels.pkl,51
NZ_LT671858.1_1642,ShosTA__ShosT,defense,0.99993145,RS_GCF_900083515.1_protein_labels.pkl,51
NZ_LT671858.1_1779,pAgo__pAgo_S2B,defense,0.99991596,RS_GCF_900083515.1_protein_labels.pkl,55
NZ_LT671858.1_1875,RM_Type_II__Type_II_REases,defense,0.99379796,RS_GCF_900083515.1_protein_labels.pkl,58
NC_007181.1_578,other,defense,0.99340653,RS_GCF_000012285.1_protein_labels.pkl,18
NC_007181.1_645,other,defense,0.9960861,RS_GCF_000012285.1_protein_labels.pkl,20
NC_007181.1_708,RnlAB__RnlB,defense,0.9911146,RS_GCF_000012285.1_protein_labels.pkl,22
NC_007181.1_932,RM_Type_II__Type_II_REases,defense,0.9957969,RS_GCF_000012285.1_protein_labels.pkl,29
NC_007181.1_1760,RM_Type_II__Type_II_REases,defense,0.9989133,RS_GCF_000012285.1_protein_labels.pkl,54
NC_007181.1_1785,other,defense,0.9918956,RS_GCF_000012285.1_protein_labels.pkl,55
NC_007181.1_1857,other,defense,0.99145633,RS_GCF_000012285.1_protein_labels.pkl,58
NC_007181.1_1949,RM_Type_II__Type_II_MTases,defense,0.99486876,RS_GCF_000012285.1_protein_labels.pkl,60
NC_007181.1_2140,other,defense,0.9946497,RS_GCF_000012285.1_protein_labels.pkl,66
NZ_NEDJ01000155.1_1,RM_Type_II__Type_II_REases,defense,0.9980915,RS_GCF_002114285.1_protein_labels.pkl,17
NZ_NEDJ01000018.1_6,other,defense,0.9966311,RS_GCF_002114285.1_protein_labels.pkl,22
NZ_NEDJ01000001.1_70,RM_Type_II__Type_II_REases,defense,0.9995617,RS_GCF_002114285.1_protein_labels.pkl,27
NZ_NEDJ01000002.1_22,RM_Type_II__Type_II_REases,defense,0.9951192,RS_GCF_002114285.1_protein_labels.pkl,44
NZ_NEDJ01000002.1_106,other,defense,0.99424464,RS_GCF_002114285.1_protein_labels.pkl,47
NZ_NEDJ01000036.1_16,other,defense,0.99741924,RS_GCF_002114285.1_protein_labels.pkl,55
NZ_NEDJ01000038.1_4,other,defense,0.9974693,RS_GCF_002114285.1_protein_labels.pkl,57
NZ_NEDJ01000003.1_18,pAgo__XAPAZ,defense,0.9962597,RS_GCF_002114285.1_protein_labels.pkl,59
NZ_NEDJ01000004.1_81,other,defense,0.9947753,RS_GCF_002114285.1_protein_labels.pkl,74
NZ_NEDJ01000005.1_65,RM_Type_III__Type_III_MTases,defense,0.9994874,RS_GCF_002114285.1_protein_labels.pkl,84
NZ_NEDJ01000005.1_66,RM_Type_III__Type_III_REases,defense,0.9992106,RS_GCF_002114285.1_protein_labels.pkl,84
NZ_NEDJ01000064.1_3,Tiamat__TmtA,defense,0.9993079,RS_GCF_002114285.1_protein_labels.pkl,87
NZ_NEDJ01000077.1_15,other,defense,0.9959895,RS_GCF_002114285.1_protein_labels.pkl,97
NZ_NEDJ01000082.1_15,SoFic__SoFic,defense,0.9997664,RS_GCF_002114285.1_protein_labels.pkl,102
NZ_NEDJ01000087.1_2,RM_Type_II__Type_II_REases,defense,0.9960431,RS_GCF_002114285.1_protein_labels.pkl,103
NZ_NEDJ01000008.1_58,other,defense,0.9984719,RS_GCF_002114285.1_protein_labels.pkl,106
NZ_NEDJ01000090.1_14,RM_Type_II__Type_II_MTases,defense,0.9924505,RS_GCF_002114285.1_protein_labels.pkl,107
NZ_NEDJ01000097.1_4,RM_Type_IV__Type_IV_REases,defense,0.9967193,RS_GCF_002114285.1_protein_labels.pkl,109
JAKAWY010000004.1_48,RM_Type_II__Type_II_MTases,defense,0.9994506,GB_GCA_021816745.1_protein_labels.pkl,4
JAKAWY010000057.1_4,Gao_TerY__TerYA,defense,0.9998921,GB_GCA_021816745.1_protein_labels.pkl,6
JAKAWY010000057.1_5,Gao_TerY__TerYB,defense,0.9998634,GB_GCA_021816745.1_protein_labels.pkl,6
JAKAWY010000006.1_37,other,defense,0.99062926,GB_GCA_021816745.1_protein_labels.pkl,8
JAKAWY010000059.1_4,RnlAB__RnlB,defense,0.9921577,GB_GCA_021816745.1_protein_labels.pkl,9
JAKAWY010000015.1_11,RM_Type_II__Type_II_MTases,defense,0.9995834,GB_GCA_021816745.1_protein_labels.pkl,20
JAKAWY010000018.1_15,other,defense,0.999795,GB_GCA_021816745.1_protein_labels.pkl,23
JAKAWY010000087.1_3,other,defense,0.9942162,GB_GCA_021816745.1_protein_labels.pkl,26
JAKAWY010000090.1_3,AbiEii__AbiEii,defense,0.9998714,GB_GCA_021816745.1_protein_labels.pkl,27
JAKAWY010000090.1_4,AbiEii__AbiEi_4,defense,0.999613,GB_GCA_021816745.1_protein_labels.pkl,27
JAKAWY010000001.1_68,AbiEii__AbiEi_4,defense,0.99989593,GB_GCA_021816745.1_protein_labels.pkl,32
JAKAWY010000029.1_11,RM_Type_II__Type_II_MTases,defense,0.99921,GB_GCA_021816745.1_protein_labels.pkl,33
JAKAWY010000032.1_4,RM_Type_II__Type_II_MTases,defense,0.9996006,GB_GCA_021816745.1_protein_labels.pkl,34
JAKAWY010000032.1_8,other,defense,0.9903543,GB_GCA_021816745.1_protein_labels.pkl,35
JAKAWY010000044.1_7,Gao_Iet__IetS,defense,0.99980396,GB_GCA_021816745.1_protein_labels.pkl,40
JAKAWY010000044.1_8,Gao_Iet__IetA,defense,0.999491,GB_GCA_021816745.1_protein_labels.pkl,40
JAKAYL010000003.1_7,other,defense,0.99386734,GB_GCA_021809545.1_protein_labels.pkl,5
JAKAYL010000033.1_9,AbiEii__AbiEi_1,defense,0.9999206,GB_GCA_021809545.1_protein_labels.pkl,8
JAKAYL010000033.1_10,AbiEii__AbiEii,defense,0.99992263,GB_GCA_021809545.1_protein_labels.pkl,8
JAKAYL010000001.1_98,CBASS__bacHORMA_1,defense,0.99741936,GB_GCA_021809545.1_protein_labels.pkl,15
JAKAYL010000005.1_42,RM_Type_II__Type_II_MTases,defense,0.9992194,GB_GCA_021809545.1_protein_labels.pkl,21
JAKAYL010000007.1_40,DEDDh_I_II_III_IV_V_VI_1,defense,0.99913627,GB_GCA_021809545.1_protein_labels.pkl,28
JAKAYL010000008.1_35,RM_Type_II__Type_II_MTases,defense,0.999757,GB_GCA_021809545.1_protein_labels.pkl,31
JAKAYL010000010.1_31,other,defense,0.9989027,GB_GCA_021809545.1_protein_labels.pkl,34
JAKAYL010000014.1_26,cas2_I_II_III_IV_V_VI_4,defense,0.99570507,GB_GCA_021809545.1_protein_labels.pkl,43
JAKAYL010000018.1_12,other,defense,0.9954301,GB_GCA_021809545.1_protein_labels.pkl,49
JAKAYL010000020.1_4,Wadjet__JetD_II,defense,0.9962865,GB_GCA_021809545.1_protein_labels.pkl,50
JAKAYL010000020.1_24,Pycsar__AG_cyclase,defense,0.99117297,GB_GCA_021809545.1_protein_labels.pkl,51
JAHLFR010000021.1_13,cas7b_I-B_I-C_2,defense,0.9933343,GB_GCA_018883755.1_protein_labels.pkl,9
JAHLFR010000021.1_16,cas4_I_II_III_IV_V_VI_6,defense,0.998749,GB_GCA_018883755.1_protein_labels.pkl,9
JAHLFR010000024.1_16,other,defense,0.99166954,GB_GCA_018883755.1_protein_labels.pkl,11
JAHLFR010000003.1_1,Shango__SngC,defense,0.9998037,GB_GCA_018883755.1_protein_labels.pkl,17
JAHLFR010000003.1_44,other,defense,0.9921617,GB_GCA_018883755.1_protein_labels.pkl,18
JAHLFR010000033.1_12,RM_Type_II__Type_II_REases,defense,0.9968188,GB_GCA_018883755.1_protein_labels.pkl,19
JAHLFR010000035.1_25,RnlAB__RnlB,defense,0.99127275,GB_GCA_018883755.1_protein_labels.pkl,21
JAHLFR010000040.1_26,BREX__brxD,defense,0.999688,GB_GCA_018883755.1_protein_labels.pkl,28
JAHLFR010000007.1_80,RM_Type_II__Type_II_MTases,defense,0.99998057,GB_GCA_018883755.1_protein_labels.pkl,37
JAHLFR010000012.1_13,Gao_Iet__IetA,defense,0.9991493,GB_GCA_018883755.1_protein_labels.pkl,41
CP133595.1_45,Zorya_TypeII__ZorE,defense,0.9950157,GB_GCA_031200235.1_protein_labels.pkl,1
CP133595.1_413,RnlAB__RnlB,defense,0.99092555,GB_GCA_031200235.1_protein_labels.pkl,12
CP133595.1_517,cas7f_I-F_1,defense,0.9992022,GB_GCA_031200235.1_protein_labels.pkl,16
CP133595.1_684,other,defense,0.99913955,GB_GCA_031200235.1_protein_labels.pkl,21
CP133595.1_799,RM_Type_II__Type_II_MTases,defense,0.99881685,GB_GCA_031200235.1_protein_labels.pkl,24
CP133595.1_854,RM_Type_II__Type_II_REases,defense,0.9982272,GB_GCA_031200235.1_protein_labels.pkl,26
CP133595.1_874,RM_Type_IV__Type_IV_REases,defense,0.9956964,GB_GCA_031200235.1_protein_labels.pkl,27
CP133595.1_959,SanaTA__SanaT,defense,0.9960192,GB_GCA_031200235.1_protein_labels.pkl,29
CP133595.1_970,other,defense,0.9971439,GB_GCA_031200235.1_protein_labels.pkl,30
CP133595.1_1005,RnlAB__RnlB,defense,0.99964106,GB_GCA_031200235.1_protein_labels.pkl,31
CP133595.1_1036,RM_Type_II__Type_II_MTases,defense,0.9999838,GB_GCA_031200235.1_protein_labels.pkl,32
CP133595.1_1088,cas6_I_II_III_IV_V_VI_7,defense,0.9985293,GB_GCA_031200235.1_protein_labels.pkl,33
CP133595.1_1160,RM_Type_IIG__Type_IIG,defense,0.99789727,GB_GCA_031200235.1_protein_labels.pkl,36
CP133595.1_1321,Gao_TerY__TerYA,defense,0.99527186,GB_GCA_031200235.1_protein_labels.pkl,41
CP133595.1_1322,Gao_TerY__TerYB,defense,0.9986254,GB_GCA_031200235.1_protein_labels.pkl,41
CP133595.1_1432,other,defense,0.9942859,GB_GCA_031200235.1_protein_labels.pkl,44
CP133595.1_1529,RnlAB__RnlB,defense,0.99655765,GB_GCA_031200235.1_protein_labels.pkl,47
CP133595.1_1663,RM_Type_II__Type_II_MTases,defense,0.9995784,GB_GCA_031200235.1_protein_labels.pkl,51
CP133595.1_1667,Lamassu-Fam__LmuA_effector_hypothetical,defense,0.998126,GB_GCA_031200235.1_protein_labels.pkl,52
CP133595.1_1720,RM_Type_II__Type_II_MTases,defense,0.9995579,GB_GCA_031200235.1_protein_labels.pkl,53
CP133595.1_1840,other,defense,0.9979582,GB_GCA_031200235.1_protein_labels.pkl,57
CP133595.1_1932,AbiEii__AbiEii,defense,0.99974245,GB_GCA_031200235.1_protein_labels.pkl,60
CP133595.1_1981,AbiEii__AbiEii,defense,0.997619,GB_GCA_031200235.1_protein_labels.pkl,61
DAUV01000050.1_3,other,defense,0.99603903,GB_GCA_002505325.1_protein_labels.pkl,11
DAUV01000099.1_4,other,defense,0.99533445,GB_GCA_002505325.1_protein_labels.pkl,18
DAUV01000090.1_3,other,defense,0.9961343,GB_GCA_002505325.1_protein_labels.pkl,21
DAUV01000060.1_5,other,defense,0.99767035,GB_GCA_002505325.1_protein_labels.pkl,23
DAUV01000095.1_14,Gao_RL__RL_B,defense,0.99853563,GB_GCA_002505325.1_protein_labels.pkl,27
DAUV01000124.1_2,Olokun__OloA,defense,0.9995915,GB_GCA_002505325.1_protein_labels.pkl,33
JAJZIG010000053.1_1,RnlAB__RnlB,defense,0.99226534,GB_GCA_021851265.1_protein_labels.pkl,1
JAJZIG010000059.1_12,MazEF__MazE,defense,0.9999043,GB_GCA_021851265.1_protein_labels.pkl,3
JAJZIG010000061.1_5,DISARM__drmB,defense,0.99379915,GB_GCA_021851265.1_protein_labels.pkl,4
JAJZIG010000004.1_38,RM_Type_II__Type_II_REases,defense,0.9993943,GB_GCA_021851265.1_protein_labels.pkl,7
JAJZIG010000077.1_1,RM_Type_II__Type_II_MTases,defense,0.99109167,GB_GCA_021851265.1_protein_labels.pkl,13
JAJZIG010000087.1_10,other,defense,0.992767,GB_GCA_021851265.1_protein_labels.pkl,16
JAJZIG010000006.1_39,RM_Type_II__Type_II_MTases,defense,0.9915168,GB_GCA_021851265.1_protein_labels.pkl,19
JAJZIG010000095.1_4,other,defense,0.9993148,GB_GCA_021851265.1_protein_labels.pkl,21
JAJZIG010000104.1_2,RM_Type_IIG__Type_IIG,defense,0.9995111,GB_GCA_021851265.1_protein_labels.pkl,25
JAJZIG010000111.1_4,cas4_I_II_III_IV_V_VI_1,defense,0.99997413,GB_GCA_021851265.1_protein_labels.pkl,29
JAJZIG010000115.1_9,other,defense,0.99862003,GB_GCA_021851265.1_protein_labels.pkl,30
JAJZIG010000128.1_2,RM_Type_II__Type_II_MTases,defense,0.9975331,GB_GCA_021851265.1_protein_labels.pkl,36
JAJZIG010000135.1_1,other,defense,0.9984908,GB_GCA_021851265.1_protein_labels.pkl,37
JAJZIG010000017.1_3,RM_Type_II__Type_II_REases,defense,0.99972683,GB_GCA_021851265.1_protein_labels.pkl,38
JAJZIG010000145.1_4,other,defense,0.9991779,GB_GCA_021851265.1_protein_labels.pkl,41
JAJZIG010000147.1_1,RM_Type_IIG__Type_IIG,defense,0.9997594,GB_GCA_021851265.1_protein_labels.pkl,42
JAJZIG010000019.1_6,RM__Type_I_REases,defense,0.9981828,GB_GCA_021851265.1_protein_labels.pkl,44
JAJZIG010000019.1_7,RM__Type_I_S,defense,0.9963773,GB_GCA_021851265.1_protein_labels.pkl,44
JAJZIG010000019.1_8,RM__Type_I_MTases,defense,0.997736,GB_GCA_021851265.1_protein_labels.pkl,44
JAJZIG010000171.1_3,other,defense,0.9920975,GB_GCA_021851265.1_protein_labels.pkl,49
JAJZIG010000173.1_5,other,defense,0.9924601,GB_GCA_021851265.1_protein_labels.pkl,50
JAJZIG010000195.1_2,RM_Type_III__Type_III_MTases,defense,0.9988574,GB_GCA_021851265.1_protein_labels.pkl,58
JAJZIG010000197.1_3,ShosTA__ShosA,defense,0.99979955,GB_GCA_021851265.1_protein_labels.pkl,59
JAJZIG010000033.1_3,SspBCDE__SspD,defense,0.9990877,GB_GCA_021851265.1_protein_labels.pkl,63
JAJZIG010000002.1_46,other,defense,0.9957742,GB_GCA_021851265.1_protein_labels.pkl,71
JAJZIG010000046.1_10,other,defense,0.9986412,GB_GCA_021851265.1_protein_labels.pkl,72
JAJYWS010000011.1_9,AbiEii__AbiEi_4,defense,0.99996483,GB_GCA_021791335.1_protein_labels.pkl,2
JAJYWS010000058.1_11,RM_Type_II__Type_II_REases,defense,0.99219865,GB_GCA_021791335.1_protein_labels.pkl,7
JAJYWS010000058.1_12,other,defense,0.99942005,GB_GCA_021791335.1_protein_labels.pkl,8
JAJYWS010000031.1_2,AbiEii__AbiEi_1,defense,0.9999341,GB_GCA_021791335.1_protein_labels.pkl,19
JAJYWS010000061.1_14,other,defense,0.9990208,GB_GCA_021791335.1_protein_labels.pkl,21
JAJYWS010000008.1_16,other,defense,0.9947125,GB_GCA_021791335.1_protein_labels.pkl,29
JAJYWS010000021.1_17,RM_Type_II__Type_II_MTases,defense,0.9978033,GB_GCA_021791335.1_protein_labels.pkl,34
JAJYWS010000042.1_15,other,defense,0.99476445,GB_GCA_021791335.1_protein_labels.pkl,36
JAJYWS010000042.1_21,other,defense,0.9929737,GB_GCA_021791335.1_protein_labels.pkl,37
JAJYWS010000038.1_1,AbiEii__AbiEii,defense,0.9976083,GB_GCA_021791335.1_protein_labels.pkl,42
JAOMRN010000001.1_45,RM_Type_II__Type_II_MTases,defense,0.99991894,GB_GCA_028355015.1_protein_labels.pkl,1
JAOMRN010000001.1_147,Druantia_I__DruD,defense,0.9934145,GB_GCA_028355015.1_protein_labels.pkl,4
JAOMRN010000001.1_247,other,defense,0.9917617,GB_GCA_028355015.1_protein_labels.pkl,7
JAOMRN010000002.1_21,cas2_I_II_III_IV_V_VI_4,defense,0.9962475,GB_GCA_028355015.1_protein_labels.pkl,16
JAOMRN010000002.1_198,RM_Type_II__Type_II_MTases,defense,0.9992286,GB_GCA_028355015.1_protein_labels.pkl,22
JAOMRN010000004.1_34,other,defense,0.9997929,GB_GCA_028355015.1_protein_labels.pkl,32
JAOMRN010000004.1_105,Gao_RL__RL_B,defense,0.99621296,GB_GCA_028355015.1_protein_labels.pkl,34
JAOMRN010000005.1_61,RM__Type_I_MTases,defense,0.99571,GB_GCA_028355015.1_protein_labels.pkl,36
JAOMRN010000005.1_62,RM__Type_I_S,defense,0.99770135,GB_GCA_028355015.1_protein_labels.pkl,36
JAOMRN010000005.1_63,RM__Type_I_REases,defense,0.99945706,GB_GCA_028355015.1_protein_labels.pkl,36
NZ_CP060530.1_19,other,defense,0.9900428,RS_GCF_016806735.1_protein_labels.pkl,0
NZ_CP060530.1_38,RnlAB__RnlB,defense,0.99394166,RS_GCF_016806735.1_protein_labels.pkl,1
NZ_CP060530.1_105,RM__Type_I_S,defense,0.99841523,RS_GCF_016806735.1_protein_labels.pkl,3
NZ_CP060530.1_271,RM_Type_II__Type_II_REases,defense,0.99449843,RS_GCF_016806735.1_protein_labels.pkl,8
NZ_CP060530.1_342,RnlAB__RnlB,defense,0.99501497,RS_GCF_016806735.1_protein_labels.pkl,10
NZ_CP060530.1_447,other,defense,0.99508923,RS_GCF_016806735.1_protein_labels.pkl,13
NZ_CP060530.1_489,other,defense,0.99830246,RS_GCF_016806735.1_protein_labels.pkl,15
NZ_CP060530.1_515,RM_Type_II__Type_II_REases,defense,0.99062717,RS_GCF_016806735.1_protein_labels.pkl,16
NZ_CP060530.1_623,other,defense,0.9927893,RS_GCF_016806735.1_protein_labels.pkl,19
NZ_CP060530.1_793,other,defense,0.9923034,RS_GCF_016806735.1_protein_labels.pkl,24
NZ_CP060530.1_794,other,defense,0.99746346,RS_GCF_016806735.1_protein_labels.pkl,24
NZ_CP060530.1_905,other,defense,0.9994584,RS_GCF_016806735.1_protein_labels.pkl,28
NZ_CP060530.1_999,RnlAB__RnlB,defense,0.9993049,RS_GCF_016806735.1_protein_labels.pkl,31
PMNG01000054.1_27,other,defense,0.9901828,GB_GCA_003162615.1_protein_labels.pkl,2
PMNG01000050.1_1,dGTPase__Sp_dGTPase,defense,0.9956546,GB_GCA_003162615.1_protein_labels.pkl,3
PMNG01000125.1_55,cas4_I_II_III_IV_V_VI_1,defense,0.99990726,GB_GCA_003162615.1_protein_labels.pkl,7
PMNG01000080.1_13,PD-T7-5__PD-T7-5,defense,0.9999635,GB_GCA_003162615.1_protein_labels.pkl,10
PMNG01000149.1_13,other,defense,0.991032,GB_GCA_003162615.1_protein_labels.pkl,11
PMNG01000149.1_35,cas2_I_II_III_IV_V_VI_4,defense,0.9994099,GB_GCA_003162615.1_protein_labels.pkl,12
PMNG01000076.1_10,cas7f_I-F_2,defense,0.9980925,GB_GCA_003162615.1_protein_labels.pkl,13
PMNG01000001.1_1,RM_Type_IIG__Type_IIG,defense,0.99983346,GB_GCA_003162615.1_protein_labels.pkl,15
PMNG01000140.1_3,Azaca__ZacA,defense,0.99369735,GB_GCA_003162615.1_protein_labels.pkl,24
PMNG01000093.1_5,other,defense,0.99235016,GB_GCA_003162615.1_protein_labels.pkl,32
PMNG01000115.1_26,PD-T4-10__PD-T4-10_B,defense,0.996014,GB_GCA_003162615.1_protein_labels.pkl,34
PMNG01000183.1_27,PD-T4-10__PD-T4-10_B,defense,0.9926984,GB_GCA_003162615.1_protein_labels.pkl,43
PMNG01000135.1_5,RM_Type_II__Type_II_REases,defense,0.99645597,GB_GCA_003162615.1_protein_labels.pkl,47
